"Parameter","coord","covariate","p2.5","p25","p50","mean","p75","p97.5"
"Lambda","clr_ASV_2","AR_d1",-0.310374011260459,0.403229249401816,0.76533198260798,0.774167837421167,1.15407650124467,1.83478368724458
"Lambda","clr_ASV_2","AR_d2",0.152430815506823,0.833885949826274,1.19204362280645,1.18403482649986,1.52661707089314,2.18702677100445
"Lambda","clr_ASV_2","AR_e1",0.767265272548463,1.30414411364843,1.58535216785154,1.59329398305051,1.88404667821935,2.4002378761509
"Lambda","clr_ASV_2","AR_e2",0.890297651347959,1.4848611423103,1.77182940529213,1.7688948777587,2.06143794050364,2.5954564135021
"Lambda","clr_ASV_20","AR_d1",-0.390333829290301,0.120228838039468,0.369972388996987,0.375115640239235,0.63075332944684,1.17887840180653
"Lambda","clr_ASV_20","AR_d2",-0.427894387285357,0.10061931009614,0.354177593835383,0.347010074425188,0.60096819855114,1.07323751530052
"Lambda","clr_ASV_20","AR_e1",0.0521826021207561,0.437348120140891,0.642331315379796,0.645714849450997,0.847814748437084,1.24533458496464
"Lambda","clr_ASV_20","AR_e2",0.358188737400641,0.775208176966648,0.97846349210206,0.982541881190204,1.199231502674,1.60451240944816
"Lambda","clr_ASV_21","AR_d1",-0.588454242054885,-0.196128319765276,0.000878215057185938,-0.00233468282023851,0.189700656989945,0.569094330913632
"Lambda","clr_ASV_21","AR_d2",-0.547748195251476,-0.188589700049578,0.00299611711379801,0.00867508111933781,0.209243715425244,0.552703252011418
"Lambda","clr_ASV_21","AR_e1",-0.855981813456335,-0.53962143567343,-0.377271569156431,-0.380551494081258,-0.230767198680332,0.0662438620146665
"Lambda","clr_ASV_21","AR_e2",-0.610837934873266,-0.31760911356845,-0.152531331505079,-0.153723049733163,0.00898133662462959,0.302124167021963
"Lambda","clr_ASV_22","AR_d1",-1.22187736702168,-0.642534642750662,-0.374903845869082,-0.375704324098399,-0.0990318718783287,0.423758002314194
"Lambda","clr_ASV_22","AR_d2",-0.0888330704894049,0.456306557948851,0.724694748235176,0.724091971921675,0.995318329905713,1.51021079410903
"Lambda","clr_ASV_22","AR_e1",0.329752953841083,0.744039650087451,0.945098888433848,0.952769288999337,1.1657846898887,1.62800390095328
"Lambda","clr_ASV_22","AR_e2",0.268968093233218,0.710696857720679,0.938846190081781,0.936392814310697,1.15173929618902,1.60588112826064
"Lambda","clr_ASV_23","AR_d1",-0.407687030006073,-0.0885502075375556,0.088907984690735,0.0976295518988688,0.277803882180777,0.666571484696008
"Lambda","clr_ASV_23","AR_d2",-0.660871778097563,-0.293066213070377,-0.115416385471386,-0.117397943873279,0.0641610434291968,0.398085022030623
"Lambda","clr_ASV_23","AR_e1",-0.575706175469958,-0.285914492865291,-0.13450756099208,-0.134237193459067,0.0220990885539254,0.293704074646204
"Lambda","clr_ASV_23","AR_e2",-0.552253239935936,-0.271901034961096,-0.125928361413487,-0.123008576895266,0.0242855684770689,0.338882356521524
"Lambda","clr_ASV_24","AR_d1",-0.594429728814271,-0.209952094924656,0.00351186756882928,-0.00451992350870376,0.204885864019155,0.552095895650626
"Lambda","clr_ASV_24","AR_d2",-0.793995539274289,-0.421067807830418,-0.229650067188853,-0.233367241629238,-0.0432879138197715,0.313657922697367
"Lambda","clr_ASV_24","AR_e1",0.396946821117174,0.683574805705595,0.831078389638178,0.832244727021751,0.981586293654945,1.26324182088731
"Lambda","clr_ASV_24","AR_e2",-0.195461038364255,0.0911814048155305,0.247020863621902,0.246125710749286,0.396414497243287,0.708237236313973
"Lambda","clr_ASV_25","AR_d1",-0.756718429678434,-0.219489302433391,0.054970231347126,0.0733264507047478,0.356705323545018,0.934160175954604
"Lambda","clr_ASV_25","AR_d2",-0.448367645427601,0.0867909571402011,0.37323647134624,0.368708189193728,0.654357860894292,1.18478395276716
"Lambda","clr_ASV_25","AR_e1",-0.836235185875733,-0.404801628259542,-0.185892282622185,-0.178730838747886,0.056617982386523,0.506329877008821
"Lambda","clr_ASV_25","AR_e2",-0.64410642574161,-0.204216683726207,0.0326961599959963,0.0377767482359346,0.274454205701936,0.727714004360035
"Lambda","clr_ASV_26","AR_d1",-0.414503312463433,-0.0985755374874249,0.0852312994549825,0.0837598223552169,0.253968644555843,0.59915693561403
"Lambda","clr_ASV_26","AR_d2",-0.500628051758754,-0.167628772163315,0.0150980967694095,0.00796852323837335,0.177870775743306,0.511906120495658
"Lambda","clr_ASV_26","AR_e1",-0.65983720660309,-0.387818848606421,-0.240502318252766,-0.244099259652309,-0.106224410828125,0.161066122490605
"Lambda","clr_ASV_26","AR_e2",-0.314828863851409,-0.0369905422084505,0.108874241102178,0.108989503631846,0.254173945458677,0.53335976336872
"Lambda","clr_ASV_27","AR_d1",-1.31776637416287,-0.365571283053418,0.126389994745966,0.118194401054368,0.596068558919288,1.48554090707509
"Lambda","clr_ASV_27","AR_d2",-2.2542185884726,-1.33452022775222,-0.871526272978101,-0.874110787124246,-0.402411104867171,0.47375864410903
"Lambda","clr_ASV_27","AR_e1",-2.13204256799323,-1.41674827604962,-1.04948063192626,-1.04515194630135,-0.671057494794734,0.0400843268819518
"Lambda","clr_ASV_27","AR_e2",-2.13639236607553,-1.42387170005809,-1.0297668845632,-1.0275835663889,-0.651663429400249,0.140916499839887
"Lambda","clr_ASV_28","AR_d1",-0.867942215178462,-0.0208203043145679,0.415703306090253,0.41639992264532,0.852858580733628,1.69641122180052
"Lambda","clr_ASV_28","AR_d2",-0.890053494217008,-0.115521443897136,0.296403624236838,0.302133860381652,0.749772620621807,1.50486954227753
"Lambda","clr_ASV_28","AR_e1",-0.741124011726932,-0.0205086327693131,0.341948893823944,0.328126532469305,0.677205047076713,1.32344647877084
"Lambda","clr_ASV_28","AR_e2",0.0812640280699826,0.741207368602566,1.08662237938714,1.10045663220497,1.45460921105951,2.18532278057028
"Lambda","clr_ASV_29","AR_d1",-0.873878509683767,-0.2810411159438,0.0201537456268238,0.00648585528396692,0.294302787494338,0.862483905445312
"Lambda","clr_ASV_29","AR_d2",-1.49761239116863,-0.934743717139972,-0.657355437146327,-0.65992986706919,-0.384221350733709,0.130855410723417
"Lambda","clr_ASV_29","AR_e1",-1.45977478834364,-1.04186037027067,-0.812397228872917,-0.815380002445198,-0.593407386353167,-0.153644233055184
"Lambda","clr_ASV_29","AR_e2",-1.42915396422708,-0.96721515093668,-0.727591796541963,-0.732626843415447,-0.502549087919139,-0.0515017524924597
"Lambda","clr_ASV_3","AR_d1",-0.553526288716905,-0.0728984324369198,0.15935723685102,0.166319500959998,0.409842048771585,0.923761759339315
"Lambda","clr_ASV_3","AR_d2",-0.676611433312052,-0.181233899795908,0.0641054504920883,0.0585319397823428,0.303047141748796,0.749060536549702
"Lambda","clr_ASV_3","AR_e1",-0.706024752438328,-0.303274290530407,-0.106993959354469,-0.106122386780546,0.0972275122550543,0.453840134048661
"Lambda","clr_ASV_3","AR_e2",-0.412888999241752,-0.0487234861953229,0.173283319497953,0.171075487155434,0.382673790650684,0.768267145470337
"Lambda","clr_ASV_30","AR_d1",-0.43937537364945,0.0751645041492655,0.34524826812266,0.348078890338462,0.629415328587235,1.18959587491814
"Lambda","clr_ASV_30","AR_d2",-0.921140699143304,-0.318790401295988,-0.0448707382490494,-0.0497374251917807,0.239295939452374,0.721691327755821
"Lambda","clr_ASV_30","AR_e1",-0.977897500218927,-0.58836718369939,-0.357831432081961,-0.359592487665378,-0.126552918394389,0.293330108425605
"Lambda","clr_ASV_30","AR_e2",-1.53154476723937,-1.07364229098247,-0.846545031129914,-0.83931569162651,-0.590436542658183,-0.164206625420652
"Lambda","clr_ASV_31","AR_d1",-1.28722751749735,-0.48499409043721,-0.0444537404752324,-0.0414987305863181,0.390178479598893,1.21546275265665
"Lambda","clr_ASV_31","AR_d2",0.183795285060957,0.96352562040343,1.38974030890275,1.3834450800304,1.79750343797167,2.61756452623883
"Lambda","clr_ASV_31","AR_e1",-0.0184476843997867,0.639795710853455,0.989502996807158,0.985386973456366,1.3289229486449,1.98250821836458
"Lambda","clr_ASV_31","AR_e2",0.27440610862491,0.920721736783721,1.28701936820006,1.29018700578883,1.64140650981733,2.36703340152032
"Lambda","clr_ASV_32","AR_d1",-0.763951373238979,-0.147294771946601,0.176293089775256,0.179454620625642,0.486173222609904,1.09405322365251
"Lambda","clr_ASV_32","AR_d2",-1.24834103246868,-0.579538266457499,-0.267030573741856,-0.275200441858285,0.0353916149872452,0.639341318453193
"Lambda","clr_ASV_32","AR_e1",-1.82750686376705,-1.30587695630696,-1.06050916846971,-1.06202677126156,-0.808230204570516,-0.319488171270872
"Lambda","clr_ASV_32","AR_e2",-1.48539454369594,-0.979969124860966,-0.735541482213601,-0.717056111546374,-0.439704849730031,0.0358015534821697
"Lambda","clr_ASV_33","AR_d1",-0.491599949249942,0.244606763269848,0.640530126445234,0.637507689465655,1.01809498551209,1.75802558751664
"Lambda","clr_ASV_33","AR_d2",-1.14285704035401,-0.353804557019363,-0.0107386421767066,-0.00264063630530832,0.35888403413789,1.12138120598396
"Lambda","clr_ASV_33","AR_e1",-0.313009158610868,0.279593210165843,0.597275824872645,0.590662383569549,0.904977863540445,1.48535302029761
"Lambda","clr_ASV_33","AR_e2",-1.81095303878248,-1.22218115795727,-0.895589439546281,-0.904613287646833,-0.578674481232152,-0.0102639898437323
"Lambda","clr_ASV_34","AR_d1",-2.04377788104051,-0.836321119935956,-0.142650373785226,-0.152617465658384,0.488849761000763,1.76207541573377
"Lambda","clr_ASV_34","AR_d2",-1.37864242731881,-0.12859285831807,0.577252899986459,0.555599922834772,1.22689592628632,2.38350803256865
"Lambda","clr_ASV_34","AR_e1",-0.937858723971341,0.0649279289362018,0.627455539856711,0.630577145736786,1.16513010276296,2.27999822328138
"Lambda","clr_ASV_34","AR_e2",-0.388757954684271,0.63257718950507,1.17484992522025,1.21788335432942,1.7821351927877,3.05111052731575
"Lambda","clr_ASV_35","AR_d1",-0.00560881956160075,0.400622254068907,0.595482314201861,0.608100324299375,0.814147373932098,1.22392527134427
"Lambda","clr_ASV_35","AR_d2",-1.49223537576171,-1.07704096691466,-0.86370792299459,-0.87050242854486,-0.659352990337105,-0.297717414115955
"Lambda","clr_ASV_35","AR_e1",0.0326930617488166,0.34090345042177,0.517950436070914,0.513769812267429,0.681271814041624,1.01401241671452
"Lambda","clr_ASV_35","AR_e2",-1.66521097192491,-1.33145997682444,-1.16270656550403,-1.16153674130876,-0.98649978740892,-0.648930941810325
"Lambda","clr_ASV_36","AR_d1",-0.7941645233066,-0.337318334297036,-0.0881673190709006,-0.0851546345541096,0.159321476490043,0.649353740703305
"Lambda","clr_ASV_36","AR_d2",-1.03935240700734,-0.57147014583274,-0.342133433831638,-0.345910888498579,-0.120861096635354,0.32227524322089
"Lambda","clr_ASV_36","AR_e1",0.0249778418091156,0.3780164183509,0.564864388193695,0.558957679705958,0.737622605778877,1.10378333707012
"Lambda","clr_ASV_36","AR_e2",-0.560183236156968,-0.196605205683932,-0.0112893166139977,-0.00603373780156475,0.196561056034523,0.554305820376282
"Lambda","clr_ASV_37","AR_d1",-0.760158357078151,-0.38331702747897,-0.184330127455411,-0.181477231584152,0.00873514989002575,0.389442294094697
"Lambda","clr_ASV_37","AR_d2",0.720537353705772,1.09598740746108,1.28088590669568,1.28210177405499,1.47027301625419,1.8189592120824
"Lambda","clr_ASV_37","AR_e1",1.0266409539756,1.31906975432362,1.46476171533923,1.46344224048951,1.61504873253087,1.89082875660258
"Lambda","clr_ASV_37","AR_e2",1.29285600427918,1.59725335263712,1.75551004786685,1.75622947037721,1.92168833592078,2.20957687144934
"Lambda","clr_ASV_38","AR_d1",-0.948643579867346,0.136301456542947,0.6775053736348,0.676746807437277,1.21368499844121,2.33993937259156
"Lambda","clr_ASV_38","AR_d2",-1.41150365194471,-0.364156759471636,0.159875891122234,0.168937660172403,0.692968731671693,1.75409180966353
"Lambda","clr_ASV_38","AR_e1",-0.00676745109059037,0.886904284627695,1.32474621548262,1.32094349013514,1.76712589063458,2.63138496671065
"Lambda","clr_ASV_38","AR_e2",-0.847416385188175,-0.0517357660454966,0.412577503039393,0.432574599183389,0.920913516044359,1.76142449969183
"Lambda","clr_ASV_39","AR_d1",-1.55035327836871,-0.639054299410792,-0.158287779817683,-0.136459942499801,0.366661660171018,1.26968477387232
"Lambda","clr_ASV_39","AR_d2",0.301385563308437,1.20411867973692,1.68185332910135,1.67960662010067,2.12621556634115,3.15832720109228
