"","time","pre.treat","rep","OD600"
"175",14.5,"glu","1",2.078
"176",14.5,"glu","2",2.165
"177",14.5,"glu","3",2.144
"178",14.5,"inu","1",2.376
"179",14.5,"inu","2",2.389
"180",14.5,"inu","3",2.403
"181",15,"glu","1",2.08
"182",15,"glu","2",2.173
"183",15,"glu","3",2.168
"184",15,"inu","1",2.37
"185",15,"inu","2",2.373
"186",15,"inu","3",2.384
"187",15.5,"glu","1",2.085
"188",15.5,"glu","2",2.171
"189",15.5,"glu","3",2.181
"190",15.5,"inu","1",2.362
"191",15.5,"inu","2",2.371
"192",15.5,"inu","3",2.371
"193",16,"glu","1",2.095
"194",16,"glu","2",2.177
"195",16,"glu","3",2.189
"196",16,"inu","1",2.35
"197",16,"inu","2",2.36
"198",16,"inu","3",2.371
"199",16.5,"glu","1",2.089
"200",16.5,"glu","2",2.183
"201",16.5,"glu","3",2.193
"202",16.5,"inu","1",2.329
"203",16.5,"inu","2",2.348
"204",16.5,"inu","3",2.357
"205",17,"glu","1",2.08
"206",17,"glu","2",2.178
"207",17,"glu","3",2.186
"208",17,"inu","1",2.314
"209",17,"inu","2",2.346
"210",17,"inu","3",2.335
"211",17.5,"glu","1",2.078
"212",17.5,"glu","2",2.187
"213",17.5,"glu","3",2.188
"214",17.5,"inu","1",2.301
"215",17.5,"inu","2",2.322
"216",17.5,"inu","3",2.321
"217",18,"glu","1",2.071
"218",18,"glu","2",2.185
"219",18,"glu","3",2.171
"220",18,"inu","1",2.267
"221",18,"inu","2",2.291
"222",18,"inu","3",2.292
"223",18.5,"glu","1",2.078
"224",18.5,"glu","2",2.18
"225",18.5,"glu","3",2.162
"226",18.5,"inu","1",2.242
"227",18.5,"inu","2",2.273
"228",18.5,"inu","3",2.267
"229",19,"glu","1",2.077
"230",19,"glu","2",2.172
"231",19,"glu","3",2.152
"232",19,"inu","1",2.214
"233",19,"inu","2",2.242
"234",19,"inu","3",2.237
"235",19.5,"glu","1",2.1
"236",19.5,"glu","2",2.166
"237",19.5,"glu","3",2.149
"238",19.5,"inu","1",2.205
"239",19.5,"inu","2",2.238
"240",19.5,"inu","3",2.22
"241",20,"glu","1",2.09
"242",20,"glu","2",2.162
"243",20,"glu","3",2.149
"244",20,"inu","1",2.178
"245",20,"inu","2",2.21
"246",20,"inu","3",2.193
"247",20.5,"glu","1",2.077
"248",20.5,"glu","2",2.155
"249",20.5,"glu","3",2.13
"250",20.5,"inu","1",2.162
"251",20.5,"inu","2",2.186
"252",20.5,"inu","3",2.169
"253",21,"glu","1",2.087
"254",21,"glu","2",2.14
"255",21,"glu","3",2.135
"256",21,"inu","1",2.15
"257",21,"inu","2",2.176
"258",21,"inu","3",2.161
"259",21.5,"glu","1",2.075
"260",21.5,"glu","2",2.128
"261",21.5,"glu","3",2.116
"262",21.5,"inu","1",2.126
"263",21.5,"inu","2",2.16
"264",21.5,"inu","3",2.138
"265",22,"glu","1",2.058
"266",22,"glu","2",2.12
"267",22,"glu","3",2.111
"268",22,"inu","1",2.126
"269",22,"inu","2",2.139
"270",22,"inu","3",2.135
"271",22.5,"glu","1",2.043
"272",22.5,"glu","2",2.107
"273",22.5,"glu","3",2.1
"274",22.5,"inu","1",2.107
"275",22.5,"inu","2",2.13
"276",22.5,"inu","3",2.121
"277",23,"glu","1",2.055
"278",23,"glu","2",2.093
"279",23,"glu","3",2.082
"280",23,"inu","1",2.105
"281",23,"inu","2",2.112
"282",23,"inu","3",2.109
"283",23.5,"glu","1",2.067
"284",23.5,"glu","2",2.089
"285",23.5,"glu","3",2.071
"286",23.5,"inu","1",2.099
"287",23.5,"inu","2",2.098
"288",23.5,"inu","3",2.099
"289",0,"No inoculum
control","rep1",0.325
"290",0.5,"No inoculum
control","rep1",0.32
"291",1,"No inoculum
control","rep1",0.322
"292",1.5,"No inoculum
control","rep1",0.326
"293",2,"No inoculum
control","rep1",0.321
"294",2.5,"No inoculum
control","rep1",0.321
"295",3,"No inoculum
control","rep1",0.32
"296",3.5,"No inoculum
control","rep1",0.32
"297",4,"No inoculum
control","rep1",0.325
"298",4.5,"No inoculum
control","rep1",0.32
"299",5,"No inoculum
control","rep1",0.319
"300",5.5,"No inoculum
control","rep1",0.319
"301",6,"No inoculum
control","rep1",0.317
"302",6.5,"No inoculum
control","rep1",0.319
"303",7,"No inoculum
control","rep1",0.318
"304",7.5,"No inoculum
control","rep1",0.319
"305",8,"No inoculum
control","rep1",0.318
"306",8.5,"No inoculum
control","rep1",0.318
"307",9,"No inoculum
control","rep1",0.315
"308",9.5,"No inoculum
control","rep1",0.319
"309",10,"No inoculum
control","rep1",0.315
"310",10.5,"No inoculum
control","rep1",0.316
"311",11,"No inoculum
control","rep1",0.314
"312",11.5,"No inoculum
control","rep1",0.315
"313",12,"No inoculum
control","rep1",0.316
"314",12.5,"No inoculum
control","rep1",0.316
"315",13,"No inoculum
control","rep1",0.316
"316",13.5,"No inoculum
control","rep1",0.317
"317",14,"No inoculum
control","rep1",0.32
"318",14.5,"No inoculum
control","rep1",0.317
"319",15,"No inoculum
control","rep1",0.316
"320",15.5,"No inoculum
control","rep1",0.316
"321",16,"No inoculum
control","rep1",0.315
"322",16.5,"No inoculum
control","rep1",0.314
"323",17,"No inoculum
control","rep1",0.316
"324",17.5,"No inoculum
control","rep1",0.315
"325",18,"No inoculum
control","rep1",0.314
"326",18.5,"No inoculum
control","rep1",0.316
"327",19,"No inoculum
control","rep1",0.315
"328",19.5,"No inoculum
control","rep1",0.312
"329",20,"No inoculum
control","rep1",0.311
"330",20.5,"No inoculum
control","rep1",0.315
"331",21,"No inoculum
control","rep1",0.311
"332",21.5,"No inoculum
control","rep1",0.309
"333",22,"No inoculum
control","rep1",0.313
"334",22.5,"No inoculum
control","rep1",0.312
"335",23,"No inoculum
control","rep1",0.314
"336",23.5,"No inoculum
control","rep1",0.311
"337",0,"No inoculum
control","rep2",0.355
"338",0.5,"No inoculum
control","rep2",0.363
"339",1,"No inoculum
control","rep2",0.366
"340",1.5,"No inoculum
control","rep2",0.364
"341",2,"No inoculum
control","rep2",0.361
"342",2.5,"No inoculum
control","rep2",0.365
"343",3,"No inoculum
control","rep2",0.361
"344",3.5,"No inoculum
control","rep2",0.357
"345",4,"No inoculum
control","rep2",0.359
"346",4.5,"No inoculum
control","rep2",0.357
"347",5,"No inoculum
control","rep2",0.359
"348",5.5,"No inoculum
control","rep2",0.359
"349",6,"No inoculum
control","rep2",0.36
"350",6.5,"No inoculum
control","rep2",0.359
"351",7,"No inoculum
control","rep2",0.36
"352",7.5,"No inoculum
control","rep2",0.357
"353",8,"No inoculum
control","rep2",0.358
"354",8.5,"No inoculum
control","rep2",0.358
"355",9,"No inoculum
control","rep2",0.359
"356",9.5,"No inoculum
control","rep2",0.359
"357",10,"No inoculum
control","rep2",0.358
"358",10.5,"No inoculum
control","rep2",0.358
"359",11,"No inoculum
control","rep2",0.357
"360",11.5,"No inoculum
control","rep2",0.361
"361",12,"No inoculum
control","rep2",0.357
"362",12.5,"No inoculum
control","rep2",0.358
"363",13,"No inoculum
control","rep2",0.36
"364",13.5,"No inoculum
control","rep2",0.356
"365",14,"No inoculum
control","rep2",0.357
"366",14.5,"No inoculum
control","rep2",0.358
"367",15,"No inoculum
control","rep2",0.358
"368",15.5,"No inoculum
control","rep2",0.356
"369",16,"No inoculum
control","rep2",0.356
"370",16.5,"No inoculum
control","rep2",0.355
"371",17,"No inoculum
control","rep2",0.355
"372",17.5,"No inoculum
control","rep2",0.356
"373",18,"No inoculum
control","rep2",0.355
"374",18.5,"No inoculum
control","rep2",0.356
"375",19,"No inoculum
control","rep2",0.353
"376",19.5,"No inoculum
control","rep2",0.355
"377",20,"No inoculum
control","rep2",0.355
"378",20.5,"No inoculum
control","rep2",0.353
"379",21,"No inoculum
control","rep2",0.353
"380",21.5,"No inoculum
control","rep2",0.351
"381",22,"No inoculum
control","rep2",0.354
"382",22.5,"No inoculum
control","rep2",0.351
"383",23,"No inoculum
control","rep2",0.351
"384",23.5,"No inoculum
control","rep2",0.352
"385",0,"No inoculum
control","rep3",0.344
"386",0.5,"No inoculum
control","rep3",0.344
"387",1,"No inoculum
control","rep3",0.344
"388",1.5,"No inoculum
control","rep3",0.341
"389",2,"No inoculum
control","rep3",0.344
"390",2.5,"No inoculum
control","rep3",0.342
"391",3,"No inoculum
control","rep3",0.339
"392",3.5,"No inoculum
control","rep3",0.338
"393",4,"No inoculum
control","rep3",0.339
"394",4.5,"No inoculum
control","rep3",0.339
"395",5,"No inoculum
control","rep3",0.338
"396",5.5,"No inoculum
control","rep3",0.338
"397",6,"No inoculum
control","rep3",0.34
"398",6.5,"No inoculum
control","rep3",0.338
"399",7,"No inoculum
control","rep3",0.339
"400",7.5,"No inoculum
control","rep3",0.339
"401",8,"No inoculum
control","rep3",0.338
"402",8.5,"No inoculum
control","rep3",0.338
"403",9,"No inoculum
control","rep3",0.336
"404",9.5,"No inoculum
control","rep3",0.338
"405",10,"No inoculum
control","rep3",0.338
"406",10.5,"No inoculum
control","rep3",0.338
"407",11,"No inoculum
control","rep3",0.338
"408",11.5,"No inoculum
control","rep3",0.339
"409",12,"No inoculum
control","rep3",0.337
"410",12.5,"No inoculum
control","rep3",0.338
"411",13,"No inoculum
control","rep3",0.338
"412",13.5,"No inoculum
control","rep3",0.339
"413",14,"No inoculum
control","rep3",0.338
"414",14.5,"No inoculum
control","rep3",0.342
"415",15,"No inoculum
control","rep3",0.344
"416",15.5,"No inoculum
control","rep3",0.337
"417",16,"No inoculum
control","rep3",0.336
"418",16.5,"No inoculum
control","rep3",0.336
"419",17,"No inoculum
control","rep3",0.337
"420",17.5,"No inoculum
control","rep3",0.335
"421",18,"No inoculum
control","rep3",0.336
"422",18.5,"No inoculum
control","rep3",0.335
"423",19,"No inoculum
control","rep3",0.337
"424",19.5,"No inoculum
control","rep3",0.334
"425",20,"No inoculum
control","rep3",0.336
"426",20.5,"No inoculum
control","rep3",0.336
"427",21,"No inoculum
control","rep3",0.335
"428",21.5,"No inoculum
control","rep3",0.332
"429",22,"No inoculum
control","rep3",0.346
"430",22.5,"No inoculum
control","rep3",0.334
"431",23,"No inoculum
control","rep3",0.331
"432",23.5,"No inoculum
control","rep3",0.332
