"Rx1","rep","DP","conc"
"dex",1,"DP 13",0.231485647105771
"dex",2,"DP 13",0.199776657711162
"dex",3,"DP 13",0.200868258189579
"con",1,"DP 14",-0.122960074132225
"con",2,"DP 14",-0.0989156263553551
"con",3,"DP 14",-0.101461310479999
"in",1,"DP 14",-0.15142263365261
"in",2,"DP 14",-0.153627963637288
"in",3,"DP 14",-0.1099800432251
"gos",1,"DP 14",-0.133766106377884
"gos",2,"DP 14",-0.1200816570003
"gos",3,"DP 14",-0.114101071926404
"dex",1,"DP 14",-0.10242129093282
"dex",2,"DP 14",-0.124219000570805
"dex",3,"DP 14",-0.128599665183352
"con",1,"DP 15",0.256297534959726
"con",2,"DP 15",0.212710490865002
"con",3,"DP 15",0.20550581075149
"in",1,"DP 15",0.127845161144897
"in",2,"DP 15",0.122721057963524
"in",3,"DP 15",0.22435827288279
"gos",1,"DP 15",0.184108583625344
"gos",2,"DP 15",0.180904958704473
"gos",3,"DP 15",0.182958981661104
"dex",1,"DP 15",0.194481512601879
"dex",2,"DP 15",0.191165094147111
"dex",3,"DP 15",0.190160638185404
"con",1,"DP 17",0.0121971826145724
"con",2,"DP 17",0.0145238861936963
"con",3,"DP 17",0.0124101791596186
"in",1,"DP 17",-0.0305829448237344
"in",2,"DP 17",-0.0316016362245651
"in",3,"DP 17",-0.0144500795555712
"gos",1,"DP 17",-0.00793113202426612
"gos",2,"DP 17",-0.00615134350700247
"gos",3,"DP 17",-0.00752633697357896
"dex",1,"DP 17",0.00388340326247537
"dex",2,"DP 17",0.00543676784368944
"dex",3,"DP 17",-0.00211880462397775
"con",1,"DP 18",0.1147247429527
"con",2,"DP 18",0.0910868073247181
"con",3,"DP 18",0.09136046539836
"in",1,"DP 18",0.0502813111521645
"in",2,"DP 18",0.0489792840240818
"in",3,"DP 18",0.0623583452538171
"gos",1,"DP 18",0.0835363702969456
"gos",2,"DP 18",0.0728897996151755
"gos",3,"DP 18",0.0720037280042264
"dex",1,"DP 18",0.0826243516257797
"dex",2,"DP 18",0.0893105169772511
"dex",3,"DP 18",0.0897025996113437
"con",1,"DP 19",0.237056754575089
"con",2,"DP 19",-0.0192520946448756
"con",3,"DP 19",0.251510590580054
"in",1,"DP 19",-0.00199599412815277
"in",2,"DP 19",0.0840190774150142
"in",3,"DP 19",0.205345940030667
"gos",1,"DP 19",-0.0530290417155268
"gos",2,"DP 19",0.200097874804106
"gos",3,"DP 19",-0.0445779432504599
"dex",1,"DP 19",0.217019870091179
"dex",2,"DP 19",-0.043994609439317
"dex",3,"DP 19",-0.0445837674848392
"con",1,"DP 20",0.216080361482555
"con",2,"DP 20",0.309269721852294
"con",3,"DP 20",0.356410672710604
"in",1,"DP 20",0.128092030282351
"in",2,"DP 20",0.128709180318036
"in",3,"DP 20",0.207006106906936
"gos",1,"DP 20",0.175149628585851
"gos",2,"DP 20",0.29552593548441
"gos",3,"DP 20",0.235060779558361
"dex",1,"DP 20",0.315885716928489
"dex",2,"DP 20",0.184652134729044
"dex",3,"DP 20",0.176006587229224
"con",1,"DP 21",0.342228087810652
"con",2,"DP 21",0.361156186958918
"con",3,"DP 21",0.358048797129746
"in",1,"DP 21",0.187977689119391
"in",2,"DP 21",0.191079718100533
"in",3,"DP 21",0.253871695808581
"gos",1,"DP 21",0.28614465230774
"gos",2,"DP 21",0.304723308409667
"gos",3,"DP 21",0.293349388874086
"dex",1,"DP 21",0.314126911111123
"dex",2,"DP 21",0.290945965892706
"dex",3,"DP 21",0.28568913438514
"con",1,"DP 22",0.346383516150644
"con",2,"DP 22",0.392445824454112
"con",3,"DP 22",0.384667570480809
"in",1,"DP 22",0.202649183540104
"in",2,"DP 22",0.200168849019803
"in",3,"DP 22",0.282929914445743
"gos",1,"DP 22",0.288091081952561
"gos",2,"DP 22",0.331232397846446
"gos",3,"DP 22",0.309647393564803
"dex",1,"DP 22",0.340115903850223
"dex",2,"DP 22",0.300974728329607
