"Rx1","rep","DP","conc"
"gos",1,"DP 81",0
"gos",2,"DP 81",0
"gos",3,"DP 81",0
"dex",1,"DP 81",0
"dex",2,"DP 81",0
"dex",3,"DP 81",0
"con",1,"DP 53",0
"con",2,"DP 53",0
"con",3,"DP 53",0
"in",1,"DP 53",0
"in",2,"DP 53",0.0137438095331953
"in",3,"DP 53",0
"gos",1,"DP 53",0
"gos",2,"DP 53",0
"gos",3,"DP 53",0
"dex",1,"DP 53",0.0246901552993195
"dex",2,"DP 53",0.0231766548029891
"dex",3,"DP 53",0
"con",1,"DP 54",0
"con",2,"DP 54",0
"con",3,"DP 54",0
"in",1,"DP 54",0
"in",2,"DP 54",0
"in",3,"DP 54",0
"gos",1,"DP 54",0
"gos",2,"DP 54",0
"gos",3,"DP 54",0
"dex",1,"DP 54",0
"dex",2,"DP 54",0
"dex",3,"DP 54",0
"con",1,"DP 55",0
"con",2,"DP 55",0
"con",3,"DP 55",0
"in",1,"DP 55",0
"in",2,"DP 55",0
"in",3,"DP 55",0
"gos",1,"DP 55",0
"gos",2,"DP 55",0
"gos",3,"DP 55",0
"dex",1,"DP 55",0
"dex",2,"DP 55",0
"dex",3,"DP 55",0
"con",1,"DP 56",0
"con",2,"DP 56",0
"con",3,"DP 56",0
"in",1,"DP 56",0
"in",2,"DP 56",0
"in",3,"DP 56",0
"gos",1,"DP 56",0
"gos",2,"DP 56",0
"gos",3,"DP 56",0
"dex",1,"DP 56",0
"dex",2,"DP 56",0
"dex",3,"DP 56",0
"con",1,"DP 57",0
"con",2,"DP 57",0
"con",3,"DP 57",0
"in",1,"DP 57",0
"in",2,"DP 57",0
"in",3,"DP 57",0
"gos",1,"DP 57",0
"gos",2,"DP 57",0
"gos",3,"DP 57",0
"dex",1,"DP 57",0
"dex",2,"DP 57",0
"dex",3,"DP 57",0
"con",1,"DP 58",0
"con",2,"DP 58",0
"con",3,"DP 58",0
"in",1,"DP 58",0
"in",2,"DP 58",0
"in",3,"DP 58",0
"gos",1,"DP 58",0
"gos",2,"DP 58",0
"gos",3,"DP 58",0
"dex",1,"DP 58",0
"dex",2,"DP 58",0
"dex",3,"DP 58",0
"con",1,"DP 59",0
"con",2,"DP 59",0
"con",3,"DP 59",0
"in",1,"DP 59",0
"in",2,"DP 59",0
"in",3,"DP 59",0
"gos",1,"DP 59",0
"gos",2,"DP 59",0
"gos",3,"DP 59",0
"dex",1,"DP 59",0
"dex",2,"DP 59",0
"dex",3,"DP 59",0
"con",1,"DP 60",0
"con",2,"DP 60",0
"con",3,"DP 60",0
"in",1,"DP 60",0
"in",2,"DP 60",0
"in",3,"DP 60",0
"gos",1,"DP 60",0
"gos",2,"DP 60",0
"gos",3,"DP 60",0
"dex",1,"DP 60",0
"dex",2,"DP 60",0
"dex",3,"DP 60",0
"con",1,"DP 61",0
"con",2,"DP 61",0
"con",3,"DP 61",0
"in",1,"DP 61",0
"in",2,"DP 61",0
"in",3,"DP 61",0
"gos",1,"DP 61",0
"gos",2,"DP 61",0
"gos",3,"DP 61",0
"dex",1,"DP 61",0
"dex",2,"DP 61",0
"dex",3,"DP 61",0
"con",1,"DP 62",0
"con",2,"DP 62",0
"con",3,"DP 62",0
"in",1,"DP 62",0
"in",2,"DP 62",0
"in",3,"DP 62",0
"gos",1,"DP 62",0
"gos",2,"DP 62",0
"gos",3,"DP 62",0
"dex",1,"DP 62",0
"dex",2,"DP 62",0
"dex",3,"DP 62",0
"con",1,"DP 63",0
"con",2,"DP 63",0
"con",3,"DP 63",0
"in",1,"DP 63",0
"in",2,"DP 63",0
"in",3,"DP 63",0
"gos",1,"DP 63",0
"gos",2,"DP 63",0
"gos",3,"DP 63",0
"dex",1,"DP 63",0
"dex",2,"DP 63",0
"dex",3,"DP 63",0
"con",1,"DP 64",0
"con",2,"DP 64",0
"con",3,"DP 64",0
"in",1,"DP 64",0
"in",2,"DP 64",0
"in",3,"DP 64",0
"gos",1,"DP 64",0
"gos",2,"DP 64",0
"gos",3,"DP 64",0
"dex",1,"DP 64",0
"dex",2,"DP 64",0
"dex",3,"DP 64",0
"con",1,"DP 65",0
"con",2,"DP 65",0
"con",3,"DP 65",0
"in",1,"DP 65",0
"in",2,"DP 65",0
"in",3,"DP 65",0
"gos",1,"DP 65",0
"gos",2,"DP 65",0
"gos",3,"DP 65",0
"dex",1,"DP 65",0
"dex",2,"DP 65",0
"dex",3,"DP 65",0
"con",1,"DP 66",0
"con",2,"DP 66",0
"con",3,"DP 66",0
"in",1,"DP 66",0
"in",2,"DP 66",0
"in",3,"DP 66",0
"gos",1,"DP 66",0
"gos",2,"DP 66",0
"gos",3,"DP 66",0
"dex",1,"DP 66",0
"dex",2,"DP 66",0
"dex",3,"DP 66",0
"con",1,"DP 67",0
"con",2,"DP 67",0
"con",3,"DP 67",0
"in",1,"DP 67",0
"in",2,"DP 67",0
"in",3,"DP 67",0
"gos",1,"DP 67",0
"gos",2,"DP 67",0
"gos",3,"DP 67",0
"dex",1,"DP 67",0
"dex",2,"DP 67",0
"dex",3,"DP 67",0
"con",1,"DP 68",0
"con",2,"DP 68",0
"con",3,"DP 68",0
"in",1,"DP 68",0
"in",2,"DP 68",0
"in",3,"DP 68",0
"gos",1,"DP 68",0
"gos",2,"DP 68",0
"gos",3,"DP 68",0
"dex",1,"DP 68",0
"dex",2,"DP 68",0
"dex",3,"DP 68",0
"con",1,"DP 69",0
"con",2,"DP 69",0
"con",3,"DP 69",0
"in",1,"DP 69",0
"in",2,"DP 69",0
"in",3,"DP 69",0
"gos",1,"DP 69",0
"gos",2,"DP 69",0
"gos",3,"DP 69",0
"dex",1,"DP 69",0
"dex",2,"DP 69",0
"dex",3,"DP 69",0
"con",1,"DP 70",0
"con",2,"DP 70",0
"con",3,"DP 70",0
"in",1,"DP 70",0
"in",2,"DP 70",0
"in",3,"DP 70",0
"gos",1,"DP 70",0
"gos",2,"DP 70",0
"gos",3,"DP 70",0
"dex",1,"DP 70",0
"dex",2,"DP 70",0
"dex",3,"DP 70",0
"con",1,"DP 71",0
"con",2,"DP 71",0
"con",3,"DP 71",0
"in",1,"DP 71",0
"in",2,"DP 71",0
"in",3,"DP 71",0
"gos",1,"DP 71",0
"gos",2,"DP 71",0
"gos",3,"DP 71",0
"dex",1,"DP 71",0
"dex",2,"DP 71",0
"dex",3,"DP 71",0
"con",1,"DP 72",0
"con",2,"DP 72",0
"con",3,"DP 72",0
"in",1,"DP 72",0
"in",2,"DP 72",0
"in",3,"DP 72",0
"gos",1,"DP 72",0
"gos",2,"DP 72",0
"gos",3,"DP 72",0
"dex",1,"DP 72",0
"dex",2,"DP 72",0
"dex",3,"DP 72",0
"con",1,"DP 73",0
"con",2,"DP 73",0
"con",3,"DP 73",0
"in",1,"DP 73",0
"in",2,"DP 73",0
"in",3,"DP 73",0
"gos",1,"DP 73",0
"gos",2,"DP 73",0
"gos",3,"DP 73",0
"dex",1,"DP 73",0
"dex",2,"DP 73",0
"dex",3,"DP 73",0
"con",1,"DP 74",0
"con",2,"DP 74",0
"con",3,"DP 74",0
"in",1,"DP 74",0
"in",2,"DP 74",0
"in",3,"DP 74",0
"gos",1,"DP 74",0
"gos",2,"DP 74",0
"gos",3,"DP 74",0
"dex",1,"DP 74",0
"dex",2,"DP 74",0
"dex",3,"DP 74",0
"con",1,"DP 82",0
"con",2,"DP 82",0
"con",3,"DP 82",0
"in",1,"DP 82",0
"in",2,"DP 82",0
"in",3,"DP 82",0
"gos",1,"DP 82",0
"gos",2,"DP 82",0
"gos",3,"DP 82",0
"dex",1,"DP 82",0
"dex",2,"DP 82",0
"dex",3,"DP 82",0
"con",1,"DP 83",0
"con",2,"DP 83",0
"con",3,"DP 83",0
"in",1,"DP 83",0
"in",2,"DP 83",0
"in",3,"DP 83",0
"gos",1,"DP 83",0
"gos",2,"DP 83",0
"gos",3,"DP 83",0
"dex",1,"DP 83",0
"dex",2,"DP 83",0
"dex",3,"DP 83",0
"con",1,"DP 84",0
"con",2,"DP 84",0
"con",3,"DP 84",0
"in",1,"DP 84",0
"in",2,"DP 84",0
"in",3,"DP 84",0
"gos",1,"DP 84",0
"gos",2,"DP 84",0
"gos",3,"DP 84",0
"dex",1,"DP 84",0
"dex",2,"DP 84",0
"dex",3,"DP 84",0
"con",1,"DP 85",0
"con",2,"DP 85",0
"con",3,"DP 85",0
"in",1,"DP 85",0
"in",2,"DP 85",0
"in",3,"DP 85",0
"gos",1,"DP 85",0
"gos",2,"DP 85",0
"gos",3,"DP 85",0
"dex",1,"DP 85",0
"dex",2,"DP 85",0
"dex",3,"DP 85",0
"con",1,"DP 86",0
"con",2,"DP 86",0
"con",3,"DP 86",0
"in",1,"DP 86",0
"in",2,"DP 86",0
"in",3,"DP 86",0
"gos",1,"DP 86",0
"gos",2,"DP 86",0
"gos",3,"DP 86",0
"dex",1,"DP 86",0
"dex",2,"DP 86",0
"dex",3,"DP 86",0
"con",1,"DP 87",0
"con",2,"DP 87",0
"con",3,"DP 87",0
"in",1,"DP 87",0
"in",2,"DP 87",0
"in",3,"DP 87",0
"gos",1,"DP 87",0
"gos",2,"DP 87",0
"gos",3,"DP 87",0
"dex",1,"DP 87",0
"dex",2,"DP 87",0
"dex",3,"DP 87",0
