expt,treatment1,treatment2,rep,DP,conc,DPn,bin
cilantro,100,100,2,maltotriose,-0.006455288,3,FOS
cilantro,0,0,2,GF7,-0.00032336,8,FOS
cilantro,0,0,3,GF7,0.00032336,8,FOS
cilantro,0,100,1,GF7,-0.002172135,8,FOS
cilantro,0,100,3,GF7,-0.001692025,8,FOS
cilantro,0.1,100,1,GF7,-0.000444079,8,FOS
cilantro,0.1,100,3,GF7,-0.000881896,8,FOS
cilantro,1,100,1,GF7,0.002799517,8,FOS
cilantro,1,100,3,GF7,-0.001516094,8,FOS
cilantro,10,100,2,GF7,0.001011688,8,FOS
cilantro,10,100,3,GF7,0.001464531,8,FOS
cilantro,25,100,1,GF7,0.000860584,8,FOS
cilantro,25,100,3,GF7,0.000843794,8,FOS
cilantro,50,100,2,GF7,0.0011669,8,FOS
cilantro,50,100,3,GF7,0.000528004,8,FOS
cilantro,100,100,1,GF7,0.001692341,8,FOS
cilantro,100,100,2,GF7,0.003035528,8,FOS
cilantro,0,0,2,GF8,0.000140392,9,FOS
cilantro,0,0,3,GF8,-0.000140392,9,FOS
cilantro,0,100,1,GF8,-0.006881205,9,FOS
cilantro,0,100,3,GF8,-0.00806783,9,FOS
cilantro,0.1,100,1,GF8,-0.006487631,9,FOS
cilantro,0.1,100,3,GF8,-0.005491065,9,FOS
cilantro,1,100,1,GF8,-0.003603038,9,FOS
cilantro,1,100,3,GF8,-0.008002168,9,FOS
cilantro,10,100,2,GF8,-0.004434821,9,FOS
cilantro,10,100,3,GF8,-0.009097596,9,FOS
cilantro,25,100,1,GF8,0.003044004,9,FOS
cilantro,25,100,3,GF8,0.002929406,9,FOS
cilantro,50,100,2,GF8,0.000663409,9,FOS
cilantro,50,100,3,GF8,0.002128462,9,FOS
cilantro,100,100,1,GF8,-6.92E-05,9,FOS
cilantro,100,100,2,GF8,0.002275761,9,FOS
cilantro,0,0,2,GF9,0.00368008,10,FOS
cilantro,0,0,3,GF9,-0.00368008,10,FOS
cilantro,0,100,1,GF9,0.005589764,10,FOS
cilantro,0,100,3,GF9,0.014023132,10,FOS
cilantro,0.1,100,1,GF9,0.00154769,10,FOS
cilantro,0.1,100,3,GF9,0.021692995,10,FOS
cilantro,1,100,1,GF9,0.013685214,10,FOS
cilantro,1,100,3,GF9,0.017243713,10,FOS
cilantro,10,100,2,GF9,0.012893334,10,FOS
cilantro,10,100,3,GF9,0.022993186,10,FOS
cilantro,25,100,1,GF9,0.025033336,10,FOS
cilantro,25,100,3,GF9,0.021217516,10,FOS
cilantro,50,100,2,GF9,0.020072346,10,FOS
cilantro,50,100,3,GF9,0.019442515,10,FOS
