"doses","amt","rep","DP","conc"
"2","norm","1","DP 12",0.112155488059719
"2","norm","2","DP 12",0.109785771947023
"2","norm","3","DP 12",0.115518204200679
"1","2x","1","DP 12",0.0713562703399913
"1","2x","2","DP 12",0.0903220217375901
"1","2x","3","DP 12",0.0887063113293974
"1","1:04","1","DP 13",0.0519438450650162
"1","1:04","2","DP 13",0.0577736689715536
"1","1:04","3","DP 13",0.0467779918462849
"2","1:04","1","DP 13",-0.0161951439005732
"2","1:04","2","DP 13",0.0322542915653327
"2","1:04","3","DP 13",0.0232711073751662
"2","norm","1","DP 13",0.0369590057615336
"2","norm","2","DP 13",0.0418983082819434
"2","norm","3","DP 13",0.0475503935005683
"1","2x","1","DP 13",0.0337089176180629
"1","2x","2","DP 13",0.0565870765581118
"1","2x","3","DP 13",0.0487592779401368
"1","1:04","1","DP 14",0.0295167234044257
"1","1:04","2","DP 14",0.0589534794041858
"1","1:04","3","DP 14",0.029837760808175
"2","1:04","1","DP 14",0.0374396670588586
"2","1:04","2","DP 14",0.012095263572883
"2","1:04","3","DP 14",-0.0018737138148216
"2","norm","1","DP 14",0.012051396427227
"2","norm","2","DP 14",0.0199996877353526
"2","norm","3","DP 14",0.0245794389851457
"1","2x","1","DP 14",0.00584839824751497
"1","2x","2","DP 14",0.057467958587284
"1","2x","3","DP 14",0.0400505421532761
"1","1:04","1","DP 15",0.0742422335504164
"1","1:04","2","DP 15",0.109347299845955
"1","1:04","3","DP 15",0.0687318534858641
"2","1:04","1","DP 15",-0.0256715064199259
"2","1:04","2","DP 15",0.0467301883609518
"2","1:04","3","DP 15",0.0102133489946742
"2","norm","1","DP 15",0.0460129686832324
"2","norm","2","DP 15",0.0355582638754772
"2","norm","3","DP 15",0.0622899943900966
"1","2x","1","DP 15",0.046910685109132
"1","2x","2","DP 15",0.0929170276211084
"1","2x","3","DP 15",0.0849964800885476
"1","1:04","1","DP 16",0.10554812448934
"1","1:04","2","DP 16",0.142776407825612
"1","1:04","3","DP 16",0.114124438248137
"2","1:04","1","DP 16",0.0073007690027504
"2","1:04","2","DP 16",0.071310019113914
"2","1:04","3","DP 16",0.0534231214318384
"2","norm","1","DP 16",0.0686554407497196
"2","norm","2","DP 16",0.0788896883179129
"2","norm","3","DP 16",0.085761280185813
"1","2x","1","DP 16",0.0729191679838385
"1","2x","2","DP 16",0.121610403830108
"1","2x","3","DP 16",0.114929501276005
"1","1:04","1","DP 17",0.020534188521381
