time,signal
2.5085,23.95875
2.516833,20.77985
2.525167,18.2021
2.5335,16.11
2.541833,14.60575
2.550167,13.9226
2.5585,12.7768
2.566833,11.2567
2.575167,9.95135
2.5835,8.9522
2.591833,8.26605
2.600167,8.05875
2.6085,8.95445
2.616833,12.31495
2.625167,20.15125
2.6335,34.450051
2.641833,55.944251
2.650167,82.928251
2.6585,111.019752
2.666833,134.571252
2.675167,149.297902
2.6835,153.983952
2.691833,149.380152
2.700167,137.730402
2.7085,122.427202
2.716833,106.743902
2.725167,93.333901
2.7335,83.697701
2.741833,78.069801
2.750167,75.652201
2.7585,75.091451
2.766833,74.983951
2.775167,74.221951
2.7835,72.137051
2.791833,68.500101
2.800167,63.444501
2.8085,57.363201
2.816833,50.487551
2.825167,43.609101
2.8335,37.290551
2.841833,31.581
2.850167,26.5877
2.8585,22.32195
2.866833,18.7497
2.875167,15.8166
2.8835,13.4537
2.891833,11.5931
2.900167,10.16045
2.9085,9.08875
2.916833,8.30355
2.925167,7.7277
2.9335,7.293
2.941833,6.94875
2.950167,6.667
2.9585,6.4413
2.966833,6.27815
2.975167,6.17785
2.9835,6.1178
2.991833,6.062
3.000167,5.9814
3.0085,5.86065
3.016833,5.70275
3.025167,5.5199
3.0335,5.31515
3.041833,5.0918
3.050167,4.85105
3.0585,4.6003
3.066833,4.3512
3.075167,4.1135
3.0835,3.90095
3.091833,3.7322
3.100167,3.6219
3.1085,3.5827
3.116833,3.6481
3.125167,3.97185
3.1335,5.04845
3.141833,8.1319
3.150167,15.59155
3.1585,30.41545
3.166833,54.031751
3.175167,83.922751
3.1835,114.291252
3.191833,139.655402
3.200167,157.428752
3.2085,168.166553
3.216833,172.655853
3.225167,171.914953
3.2335,167.152252
3.241833,159.123302
3.250167,148.610502
3.2585,148.446052
3.266833,122.008752
3.275167,107.892302
3.2835,93.880301
3.291833,80.690101
3.300167,68.714051
3.3085,58.150651
3.316833,49.075551
3.325167,41.183601
3.3335,34.675251
3.341833,29.55485
3.350167,25.46655
3.3585,22.20475
3.366833,19.58085
3.375167,17.42255
3.3835,15.5978
3.391833,14.00965
3.400167,12.604
3.4085,11.351
3.416833,10.2321
3.425167,9.23915
3.4335,8.36845
3.441833,7.60595
3.450167,6.94435
3.4585,6.37155
3.466833,5.8771
3.475167,5.4535
3.4835,5.09255
3.491833,4.7817
3.500167,4.5182
3.5085,4.29225
3.516833,4.0956
3.525167,3.92305
3.5335,3.7628
3.541833,3.6145
3.550167,3.47505
3.5585,3.3436
3.566833,3.21995
3.575167,3.10585
3.5835,2.99835
3.591833,2.90085
3.600167,2.80605
3.6085,2.7152
3.616833,2.626
3.625167,2.53815
3.6335,2.45335
3.641833,2.37155
3.650167,2.2931
3.6585,2.2197
3.666833,2.15225
3.675167,2.09505
3.6835,2.04795
3.691833,2.01545
3.700167,2.0006
3.7085,2.00865
3.716833,2.0402
3.725167,2.09865
3.7335,2.18305
3.741833,2.27115
3.750167,2.3721
3.7585,2.46225
3.766833,2.5355
3.775167,2.58115
3.7835,2.59635
3.791833,2.58455
3.800167,2.54805
3.8085,2.49265
3.816833,2.4267
3.825167,2.3535
3.8335,2.27845
3.841833,2.20385
3.850167,2.13375
3.8585,2.06705
3.866833,2.00505
3.875167,1.9505
3.8835,1.9023
3.891833,1.86195
3.900167,1.8282
3.9085,1.8029
3.916833,1.7861
3.925167,1.77695
3.9335,1.7707
3.941833,1.76435
3.950167,1.7563
3.9585,1.74205
3.966833,1.71945
3.975167,1.6922
3.9835,1.66065
3.991833,1.62475
4.000167,1.5906
4.0085,1.5598
4.016833,1.5354
4.025167,1.52
4.0335,1.5167
4.041833,1.5234
4.050167,1.53985
4.0585,1.564
4.066833,1.5945
4.075167,1.63395
4.0835,1.708
4.091833,1.89255
4.100167,2.3935
4.1085,3.6854
4.116833,6.74765
4.125167,13.32095
4.1335,25.87765
4.141833,46.790801
4.150167,76.370801
4.1585,110.959302
4.166833,143.869002
4.175167,169.666453
4.1835,186.793553
4.191833,196.676553
4.200167,201.851953
4.2085,203.932603
4.216833,203.755603
4.225167,201.658203
4.2335,197.687003
4.241833,191.717153
4.250167,183.620103
4.2585,173.334853
4.266833,160.982452
4.275167,146.903152
4.2835,131.639752
4.291833,115.881602
4.300167,100.343051
4.3085,85.617951
4.316833,72.172751
4.325167,60.289601
4.3335,50.051201
4.341833,41.137551
4.350167,33.745451
4.3585,27.8506
4.366833,23.09415
4.375167,19.2728
4.3835,16.21565
4.391833,13.77775
4.400167,11.84785
4.4085,10.3324
4.416833,9.16005
4.425167,8.26835
4.4335,7.60125
4.441833,7.10575
4.450167,6.74215
4.4585,6.45325
4.466833,6.20495
4.475167,5.9713
4.4835,5.73035
4.491833,5.4661
4.500167,5.17985
4.5085,4.8772
4.516833,4.5716
4.525167,4.27225
4.5335,3.99185
4.541833,3.7423
4.550167,3.52735
4.5585,3.3482
4.566833,3.20125
4.575167,3.08145
4.5835,2.98075
4.591833,2.8908
4.600167,2.8087
4.6085,2.72805
4.616833,2.64865
4.625167,2.5702
4.6335,2.49285
4.641833,2.41755
4.650167,2.34945
4.6585,2.28845
4.666833,2.23945
4.675167,2.20115
4.6835,2.17525
4.691833,2.1579
4.700167,2.14675
4.7085,2.1457
4.716833,2.1445
4.725167,2.14505
4.7335,2.1449
4.741833,2.14105
4.750167,2.13605
4.7585,2.12825
4.766833,2.11595
4.775167,2.10595
4.7835,2.0931
4.791833,2.08075
4.800167,2.06745
4.8085,2.05685
4.816833,2.04805
4.825167,2.042
4.8335,2.04045
4.841833,2.04155
4.850167,2.04695
4.8585,2.05615
4.866833,2.0649
4.875167,2.07795
4.8835,2.0923
4.891833,2.1098
4.900167,2.1296
4.9085,2.15345
4.916833,2.1831
4.925167,2.2229
4.9335,2.26685
4.941833,2.31725
4.950167,2.37405
4.9585,2.4331
4.966833,2.48915
4.975167,2.533
4.9835,2.56205
4.991833,2.5681
