"","pre.treatment","rep","conc"
"171","control",3,0.201505390247553
"172","Sigma Dahlia",1,0.096320756790393
"173","Sigma Dahlia",2,0.0583119609971234
"174","Sigma Dahlia",3,0.0725727372535435
"175","NOW",1,0.129547797673675
"176","NOW",2,0.145680714405895
"177","NOW",3,0.149415235850302
"178","Sigma Chicory",1,0.111061346258444
"179","Sigma Chicory",2,0.136021758356155
"180","Sigma Chicory",3,0.116614471735467
"181","fructose",1,0.180607830434347
"182","fructose",2,0.214534631945349
"183","fructose",3,0.188500960980146
"184","glucose",1,0.0439546342849376
"185","glucose",2,0.19692668849038
"186","glucose",3,0.0966769012203424
"187","sucrose",1,0.186957267585062
"188","sucrose",2,0.0465853382629853
"189","sucrose",3,0.208199807300511
"190","control",1,0.153191558993848
"191","control",2,0.171582044867142
"192","control",3,0.174980211907914
"193","Sigma Dahlia",1,0.0806804358729683
"194","Sigma Dahlia",2,0.0607822190309829
"195","Sigma Dahlia",3,0.0652902691940117
"196","NOW",1,0.126127758886834
"197","NOW",2,0.1309179517318
"198","NOW",3,0.129415629613583
"199","Sigma Chicory",1,0.0975887552190587
"200","Sigma Chicory",2,0.107995951801342
"201","Sigma Chicory",3,0.0974474772647959
"202","fructose",1,0.168033903242918
"203","fructose",2,0.197184999495926
"204","fructose",3,0.192563628215943
"205","glucose",1,0.0454497324004618
"206","glucose",2,0.189914322724704
"207","glucose",3,0.0990623200438507
"208","sucrose",1,0.197490731283254
"209","sucrose",2,0.0500895391157558
"210","sucrose",3,0.200843262293569
"211","control",1,0.150510308807745
"212","control",2,0.177423055926744
"213","control",3,0.185103185759097
"214","Sigma Dahlia",1,0.0828073856158657
"215","Sigma Dahlia",2,0.0514178748027572
"216","Sigma Dahlia",3,0.0568198689903669
"217","NOW",1,0.121347899710778
"218","NOW",2,0.138925607784824
"219","NOW",3,0.13453399281889
"220","Sigma Chicory",1,0.10347685864071
"221","Sigma Chicory",2,0.113603345886739
"222","Sigma Chicory",3,0.085615828788975
"223","fructose",1,0.182218378856466
"224","fructose",2,0.180299308888138
"225","fructose",3,0.174047544609183
"226","glucose",1,0.175235050183815
"227","glucose",2,0.195829951572887
"228","glucose",3,0.0922356406628089
"229","sucrose",1,0.17786863862578
"230","sucrose",2,0.165157162077744
"231","sucrose",3,0.206692286368618
"232","control",1,0.15716670817851
"233","control",2,0.178695643685284
"234","control",3,0.187957723883673
"235","Sigma Dahlia",1,0.109462651964048
"236","Sigma Dahlia",2,0.0976415954068101
"237","Sigma Dahlia",3,0.103153469251219
"238","NOW",1,0.136283370157434
"239","NOW",2,0.157358310777199
"240","NOW",3,0.136940091770472
"241","Sigma Chicory",1,0.118733823009068
"242","Sigma Chicory",2,0.135400958382313
"243","Sigma Chicory",3,0.125868170104759
"244","fructose",1,0.198339316361182
"245","fructose",2,0.234231683268501
"246","fructose",3,0.204873602371939
"247","glucose",1,0.182823198561163
"248","glucose",2,0.193469433605522
"249","glucose",3,0.0848739047654627
"250","sucrose",1,0.203745028674629
"251","sucrose",2,0.176513651432569
"252","sucrose",3,0.203877899773124
"253","control",1,0.139023402430159
"254","control",2,0.156785619226901
"255","control",3,0.162996201464297
"256","Sigma Dahlia",1,0.0749660149136097
"257","Sigma Dahlia",2,0.0617682552342435
"258","Sigma Dahlia",3,0.0653858034105286
"259","NOW",1,0.118332550475893
"260","NOW",2,0.123441715067496
"261","NOW",3,0.119345491100012
"262","Sigma Chicory",1,0.083296551142138
"263","Sigma Chicory",2,0.127216546427379
"264","Sigma Chicory",3,0.0997534331347163
"265","fructose",1,0.170476190027069
"266","fructose",2,0.172230480809316
"267","fructose",3,0.172994635988522
"268","glucose",1,0.194704186801896
"269","glucose",2,0.168837819716587
"270","glucose",3,0.13500368015677
"271","sucrose",1,0.176644606314896
"272","sucrose",2,0.2438640282425
"273","sucrose",3,0.180002322345322
"274","control",1,0.176563005752955
"275","control",2,0.188105504544066
"276","control",3,0.22231384246747
"277","Sigma Dahlia",1,0.107308756600643
"278","Sigma Dahlia",2,0.0519346710022649
"279","Sigma Dahlia",3,0.0584190351193619
"280","NOW",1,0.131233635062365
"281","NOW",2,0.166778337966067
"282","NOW",3,0.151109813323315
"283","Sigma Chicory",1,0.124932457201539
"284","Sigma Chicory",2,0.148147769330837
"285","Sigma Chicory",3,0.0906184553498842
"286","fructose",1,0.226129056768246
"287","fructose",2,0.189832648705718
"288","fructose",3,0.165641989381251
"289","glucose",1,0.171919630372825
"290","glucose",2,0.21341255011087
"291","glucose",3,0.0667351093403873
"292","sucrose",1,0.179837511751575
"293","sucrose",2,0.176769702203487
"294","sucrose",3,0.223608312945102
"295","control",1,0.134722251601034
"296","control",2,0.161673119843009
"297","control",3,0.177921351153118
"298","Sigma Dahlia",1,0.0826640199278707
"299","Sigma Dahlia",2,0.054255189432778
"300","Sigma Dahlia",3,0.0596209851528576
