time,signal
2.575,29.84565
2.583333,25.8514
2.591667,21.9678
2.6,18.3839
2.608333,15.2031
2.616667,12.4721
2.625,10.17385
2.633333,8.27455
2.641667,6.7269
2.65,5.4799
2.658333,4.48835
2.666667,3.71525
2.675,3.11585
2.683333,2.6577
2.691667,2.2998
2.7,2.01035
2.708333,1.7706
2.716667,1.5528
2.725,1.35805
2.733333,1.1746
2.741667,1.0071
2.75,0.8514
2.758333,0.7176
2.766667,0.6071
2.775,0.53095
2.783333,0.5112
2.791667,0.46745
2.8,0.39085
2.808333,0.3117
2.816667,0.2432
2.825,0.18955
2.833333,0.15165
2.841667,0.1256
2.85,0.10645
2.858333,0.08115
2.866667,0.06385
2.875,0.0715
2.883333,0.1852
2.891667,0.6044
2.9,1.7528
2.908333,4.296
2.916667,8.9366
2.925,15.8426
2.933333,23.98615
2.941667,31.39345
2.95,36.500101
2.958333,39.005451
2.966667,39.414851
2.975,38.428201
2.983333,36.681901
2.991667,34.636851
3,32.5701
3.008333,30.56175
3.016667,28.5675
3.025,26.48825
3.033333,24.2585
3.041667,21.86915
3.05,19.3589
3.058333,16.8181
3.066667,14.36045
3.075,12.08855
3.083333,10.06735
3.091667,8.3167
3.1,6.82795
3.108333,5.57525
3.116667,4.51745
3.125,3.63065
3.133333,2.8913
3.141667,2.27675
3.15,1.76415
3.158333,1.3492
3.166667,1.0109
3.175,0.736
3.183333,0.5133
3.191667,0.33685
3.2,0.19695
3.208333,0.0937
3.216667,0.0262
3.225,-0.01015
3.233333,-0.01285
3.241667,0.0036
3.25,0.03335
3.258333,0.0663
3.266667,0.1
3.275,0.12795
3.283333,0.15165
3.291667,0.16865
3.3,0.1827
3.308333,0.2018
3.316667,0.22695
3.325,0.2503
3.333333,0.2634
3.341667,0.25985
3.35,0.2337
3.358333,0.1865
3.366667,0.1281
3.375,0.05695
3.383333,-0.0136
3.391667,-0.0801
3.4,-0.14195
3.408333,-0.1945
3.416667,-0.2412
3.425,-0.28315
3.433333,-0.3202
3.441667,-0.3592
3.45,-0.3958
3.458333,-0.43305
3.466667,-0.46775
3.475,-0.4954
3.483333,-0.5151
3.491667,-0.52305
3.5,-0.51525
3.508333,-0.4944
3.516667,-0.4637
3.525,-0.43175
3.533333,-0.4051
3.541667,-0.3837
3.55,-0.3672
3.558333,-0.3263
3.566667,-0.20325
3.575,0.13755
3.583333,0.9312
3.591667,2.54725
3.6,5.427
3.608333,9.89675
3.616667,15.8738
3.625,22.7006
3.633333,29.3984
3.641667,35.109601
3.65,39.380701
3.658333,42.119351
3.666667,43.431501
3.675,43.481901
3.683333,42.441101
3.691667,40.477151
3.7,37.759651
3.708333,34.472451
3.716667,30.816
3.725,26.97925
3.733333,23.16085
3.741667,19.51635
3.75,16.16945
3.758333,13.20455
3.766667,10.64145
3.775,8.4859
3.783333,6.7119
3.791667,5.2732
3.8,4.1208
3.808333,3.20975
3.816667,2.49255
3.825,1.9296
3.833333,1.4909
3.841667,1.1483
3.85,0.87875
3.858333,0.67085
3.866667,0.5093
3.875,0.38405
3.883333,0.2905
3.891667,0.2268
3.9,0.1855
3.908333,0.1596
