"media","doses","DPn","conc"
"fresh",1,43,0.0512085126069819
"fresh",1,43,0.058250698599521
"fresh",2,43,0.0404029259737716
"fresh",2,43,0.0342502921542096
"fresh",2,43,0.0332313628578638
"conditioned",1,43,0.0678239090177731
"conditioned",1,43,0.0580763308348495
"conditioned",1,43,0.056998835588729
"fresh",1,44,0.0526921164785192
"fresh",1,44,0.0460197468014967
"fresh",1,44,0.0531922388654178
"fresh",2,44,0.0376505269026458
"fresh",2,44,0.0306264131714656
"fresh",2,44,0.0317636672210617
"conditioned",1,44,0.0622802006212192
"conditioned",1,44,0.0530202145832369
"conditioned",1,44,0.0518354047290731
"fresh",1,45,0.0501182759943539
"fresh",1,45,0.0456355529042228
"fresh",1,45,0.0512677119304026
"fresh",2,45,0.0365201766257879
"fresh",2,45,0.0330065363260841
"fresh",2,45,0.0321645716263562
"conditioned",1,45,0.0591771764560443
"conditioned",1,45,0.0514539554509315
"conditioned",1,45,0.0508161165209953
"fresh",1,46,0.0434014434874015
"fresh",1,46,0.0394949004027938
"fresh",1,46,0.044362894125397
"fresh",2,46,0.0314055999866742
"fresh",2,46,0.0263712823447011
"fresh",2,46,0.0261172889565347
"conditioned",1,46,0.0522348523749831
"conditioned",1,46,0.0441140310637604
"conditioned",1,46,0.0438161343257179
"fresh",1,47,0.0401134953301258
"fresh",1,47,0.0359802044803456
"fresh",1,47,0.0413329401664832
"fresh",2,47,0.0294259484320251
"fresh",2,47,0.0255726720710238
"fresh",2,47,0.0247781892822711
"conditioned",1,47,0.0484558601863979
"conditioned",1,47,0.0413546543263047
"conditioned",1,47,0.0406722364479366
"fresh",1,49,0.0303077312216147
"fresh",1,49,0.0311358039260462
"fresh",1,49,0.031491337665851
"fresh",2,49,0.0220420784700683
"fresh",2,49,0.0201994573036743
"fresh",2,49,0.0187588383902269
"conditioned",1,49,0.037149560017553
"conditioned",1,49,0.0328103805080003
"conditioned",1,49,0.0343691658312863
"fresh",1,50,0.0297761618332063
"fresh",1,50,0.0275971242548808
"fresh",1,50,0.0311032168519737
"fresh",2,50,0.0225647067338453
"fresh",2,50,0.0185474604921905
"fresh",2,50,0.0179335630860637
"conditioned",1,50,0.0368980473428329
"conditioned",1,50,0.0306535321197302
"conditioned",1,50,0.0309755181687663
"fresh",1,51,0.0266613463619922
"fresh",1,51,0.0252440355987078
"fresh",1,51,0.0280631394709561
"fresh",2,51,0.020269455647755
"fresh",2,51,0.016783388214095
"fresh",2,51,0
"conditioned",1,51,0.0333245743460615
"conditioned",1,51,0.0279990631704632
"conditioned",1,51,0.0285555663680591
"fresh",1,52,0.0244311110806363
"fresh",1,52,0.021738671381307
"fresh",1,52,0.0256536594478578
"fresh",2,52,0.0186138802751731
"fresh",2,52,0.0149675376404603
"fresh",2,52,0
"conditioned",1,52,0.0299961325003687
"conditioned",1,52,0.0249247097189839
"conditioned",1,52,0.0249787470471921
"fresh",1,53,0
"fresh",1,53,0.0203194182721758
"fresh",1,53,0
"fresh",2,53,0
"fresh",2,53,0.0129209173790026
"fresh",2,53,0
"conditioned",1,53,0.0257958835000072
"conditioned",1,53,0.0216276093125278
"conditioned",1,53,0.0228461252008716
"fresh",1,54,0
"fresh",1,54,0.0173171955227187
"fresh",1,54,0
"fresh",2,54,0
"fresh",2,54,0.0109913867921863
"fresh",2,54,0
"conditioned",1,54,0.0237568003849343
"conditioned",1,54,0.018839361293054
"conditioned",1,54,0.0195317653625698
"fresh",1,55,0
"fresh",1,55,0
"fresh",1,55,0
"fresh",2,55,0
"fresh",2,55,0.00897365892520177
"fresh",2,55,0
"conditioned",1,55,0.0203768863742991
"conditioned",1,55,0.0161336207471645
"conditioned",1,55,0.0158918936952708
"fresh",1,56,0
"fresh",1,56,0
"fresh",1,56,0
"fresh",2,56,0
"fresh",2,56,0
"fresh",2,56,0
"conditioned",1,56,0.0156827326049949
"conditioned",1,56,0.0139451459015178
"conditioned",1,56,0.0146946063802866
"fresh",1,57,0
"fresh",1,57,0
"fresh",1,57,0
"fresh",2,57,0
"fresh",2,57,0
"fresh",2,57,0
"conditioned",1,57,0.0145901630661053
"conditioned",1,57,0.0115837917192682
"conditioned",1,57,0.0119378898121429
"fresh",1,58,0
"fresh",1,58,0
"fresh",1,58,0
"fresh",2,58,0
"fresh",2,58,0
"fresh",2,58,0
"conditioned",1,58,0.0120192361007099
"conditioned",1,58,0.00965968703335029
"conditioned",1,58,0.0100716121400805
"fresh",1,59,0
"fresh",1,59,0
"fresh",1,59,0
"fresh",2,59,0
"fresh",2,59,0
"fresh",2,59,0
"conditioned",1,59,0.011255936407782
"conditioned",1,59,0.00855223321378585
"conditioned",1,59,0.00895414046068605
"fresh",1,60,0
"fresh",1,60,0
"fresh",1,60,0
"fresh",2,60,0
"fresh",2,60,0
"fresh",2,60,0
"conditioned",1,60,0.009763180287063
"conditioned",1,60,0.00723658947686883
"conditioned",1,60,0.00777517875651825
"fresh",1,61,0
"fresh",1,61,0
"fresh",1,61,0
"fresh",2,61,0
"fresh",2,61,0
"fresh",2,61,0
"conditioned",1,61,0.00929986746520911
"conditioned",1,61,0.00671524907283853
"conditioned",1,61,0.0072488135882316
"fresh",1,62,0
"fresh",1,62,0
"fresh",1,62,0
"fresh",2,62,0
"fresh",2,62,0
"fresh",2,62,0
"conditioned",1,62,0.00874117912853541
"conditioned",1,62,0.00647352202094465
"conditioned",1,62,0.0070328965124011
"fresh",1,63,0
"fresh",1,63,0
"fresh",1,63,0
"fresh",2,63,0
"fresh",2,63,0
"fresh",2,63,0
"conditioned",1,63,0.00846318087919592
"conditioned",1,63,0.00610027493151423
"conditioned",1,63,0
"fresh",1,64,0
"fresh",1,64,0
"fresh",1,64,0
"fresh",2,64,0
"fresh",2,64,0
"fresh",2,64,0
"conditioned",1,64,0.00749646268371345
"conditioned",1,64,0.00589172610242901
"conditioned",1,64,0.00640896013398966
"fresh",1,65,0
"fresh",1,65,0
"fresh",1,65,0
"fresh",2,65,0
"fresh",2,65,0
"fresh",2,65,0
"conditioned",1,65,0.00734824269438421
"conditioned",1,65,0.00565395763582068
"conditioned",1,65,0
"fresh",1,66,0
"fresh",1,66,0
"fresh",1,66,0
"fresh",2,66,0
"fresh",2,66,0
"fresh",2,66,0
"conditioned",1,66,0.00673402860143464
"conditioned",1,66,0.00519829807885301
"conditioned",1,66,0
"fresh",1,67,0
"fresh",1,67,0
"fresh",1,67,0
"fresh",2,67,0
"fresh",2,67,0
"fresh",2,67,0
"conditioned",1,67,0.006373427872464
"conditioned",1,67,0.00505843862164765
"conditioned",1,67,0
"fresh",1,70,0
"fresh",1,70,0
"fresh",1,70,0
"fresh",2,70,0
"fresh",2,70,0
"fresh",2,70,0
"conditioned",1,70,0
"conditioned",1,70,0
"conditioned",1,70,0
"fresh",1,69,0
"fresh",1,69,0
"fresh",1,69,0
"fresh",2,69,0
"fresh",2,69,0
"fresh",2,69,0
"conditioned",1,69,0
"conditioned",1,69,0
"conditioned",1,69,0
"fresh",1,71,0
"fresh",1,71,0
"fresh",1,71,0
"fresh",2,71,0
"fresh",2,71,0
"fresh",2,71,0
"conditioned",1,71,0
"conditioned",1,71,0
"conditioned",1,71,0
"fresh",1,72,0
"fresh",1,72,0
"fresh",1,72,0
"fresh",2,72,0
"fresh",2,72,0
"fresh",2,72,0
"conditioned",1,72,0
"conditioned",1,72,0
"conditioned",1,72,0
"fresh",1,73,0
"fresh",1,73,0
"fresh",1,73,0
"fresh",2,73,0
"fresh",2,73,0
"fresh",2,73,0
"conditioned",1,73,0
"conditioned",1,73,0
"conditioned",1,73,0
"fresh",1,74,0
"fresh",1,74,0
"fresh",1,74,0
"fresh",2,74,0
"fresh",2,74,0
"fresh",2,74,0
"conditioned",1,74,0
"conditioned",1,74,0
"conditioned",1,74,0
"fresh",1,75,0
"fresh",1,75,0
"fresh",1,75,0
"fresh",2,75,0
"fresh",2,75,0
"fresh",2,75,0
"conditioned",1,75,0
"conditioned",1,75,0
"conditioned",1,75,0
"fresh",1,76,0
"fresh",1,76,0
"fresh",1,76,0
"fresh",2,76,0
"fresh",2,76,0
"fresh",2,76,0
"conditioned",1,76,0
"conditioned",1,76,0
"conditioned",1,76,0
"fresh",1,77,0
"fresh",1,77,0
"fresh",1,77,0
"fresh",2,77,0
"fresh",2,77,0
"fresh",2,77,0
"conditioned",1,77,0
"conditioned",1,77,0
"conditioned",1,77,0
"fresh",1,78,0
"fresh",1,78,0
"fresh",1,78,0
"fresh",2,78,0
"fresh",2,78,0
"fresh",2,78,0
"conditioned",1,78,0
"conditioned",1,78,0
"conditioned",1,78,0
"fresh",1,79,0
"fresh",1,79,0
"fresh",1,79,0
"fresh",2,79,0
"fresh",2,79,0
"fresh",2,79,0
"conditioned",1,79,0
"conditioned",1,79,0
"conditioned",1,79,0
"fresh",1,80,0
"fresh",1,80,0
"fresh",1,80,0
"fresh",2,80,0
"fresh",2,80,0
"fresh",2,80,0
"conditioned",1,80,0
"conditioned",1,80,0
"conditioned",1,80,0
"fresh",1,81,0
"fresh",1,81,0
"fresh",1,81,0
"fresh",2,81,0
"fresh",2,81,0
"fresh",2,81,0
"conditioned",1,81,0
"conditioned",1,81,0
"conditioned",1,81,0
"fresh",1,82,0
"fresh",1,82,0
"fresh",1,82,0
"fresh",2,82,0
"fresh",2,82,0
"fresh",2,82,0
"conditioned",1,82,0
"conditioned",1,82,0
"conditioned",1,82,0
"fresh",1,83,0
"fresh",1,83,0
"fresh",1,83,0
"fresh",2,83,0
"fresh",2,83,0
"fresh",2,83,0
"conditioned",1,83,0
"conditioned",1,83,0
"conditioned",1,83,0
"fresh",1,84,0
"fresh",1,84,0
"fresh",1,84,0
"fresh",2,84,0
"fresh",2,84,0
"fresh",2,84,0
"conditioned",1,84,0
"conditioned",1,84,0
"conditioned",1,84,0
"fresh",1,85,0
"fresh",1,85,0
"fresh",1,85,0
"fresh",2,85,0
"fresh",2,85,0
"fresh",2,85,0
"conditioned",1,85,0
"conditioned",1,85,0
"conditioned",1,85,0
"fresh",1,86,0
"fresh",1,86,0
"fresh",1,86,0
"fresh",2,86,0
"fresh",2,86,0
"fresh",2,86,0
"conditioned",1,86,0
"conditioned",1,86,0
"conditioned",1,86,0
"fresh",1,87,0
"fresh",1,87,0
"fresh",1,87,0
"fresh",2,87,0
"fresh",2,87,0
"fresh",2,87,0
"conditioned",1,87,0
"conditioned",1,87,0
"conditioned",1,87,0
"fresh",1,88,0
"fresh",1,88,0
"fresh",1,88,0
"fresh",2,88,0
"fresh",2,88,0
"fresh",2,88,0
"conditioned",1,88,0
"conditioned",1,88,0
"conditioned",1,88,0
"fresh",1,89,0
"fresh",1,89,0
"fresh",1,89,0
"fresh",2,89,0
"fresh",2,89,0
"fresh",2,89,0
"conditioned",1,89,0
"conditioned",1,89,0
"conditioned",1,89,0
"fresh",1,90,0
"fresh",1,90,0
"fresh",1,90,0
"fresh",2,90,0
"fresh",2,90,0
"fresh",2,90,0
"conditioned",1,90,0
"conditioned",1,90,0
"conditioned",1,90,0
