Day,Hour,Vessel,time,Rep,Acetate,propionate,isobutyrate,Butyrate,isovalerate,valerate
3,16,8,3.666666667,2,6.84035,1.67889,0.34285,2.59962,0.78468,0.19378
3,16,8,3.666666667,3,6.8438,1.67344,0.37213,2.6647,0.82481,0.24645
4,16,1,4.666666667,1,7.72981,1.82601,0.50284,3.13829,1.06066,0.432
4,16,1,4.666666667,2,7.24648,1.72365,0.4805,2.99116,1.01243,0.42868
4,16,1,4.666666667,3,7.54313,1.75119,0.48265,3.07474,1.02447,0.4166
4,16,2,4.666666667,1,6.9002,1.6938,0.51078,3.25006,1.07999,0.42887
4,16,2,4.666666667,2,7.01773,1.73373,0.54155,3.3039,1.16207,0.47653
4,16,2,4.666666667,3,7.05129,1.75088,0.51672,3.28349,1.10469,0.4461
4,16,3,4.666666667,1,6.4642,1.52437,0.57013,3.24195,1.15109,0.58659
4,16,3,4.666666667,2,6.67156,1.57571,0.61837,3.38209,1.20231,0.6153
4,16,3,4.666666667,3,6.88633,1.59866,0.5847,3.37263,1.15989,0.58236
4,16,4,4.666666667,1,6.959,1.93258,0.42849,2.87052,0.98705,0.41676
4,16,4,4.666666667,2,6.45233,1.79787,0.38545,2.63207,0.87862,0.37132
4,16,4,4.666666667,3,6.52928,1.80581,0.37802,2.64539,0.8746,0.35052
4,16,6,4.666666667,1,7.26222,1.76518,0.41456,3.09563,0.91762,0.44495
4,16,6,4.666666667,2,7.33909,1.78384,0.43568,3.15392,0.95586,0.4479
4,16,6,4.666666667,3,7.15931,1.74173,0.41101,3.03915,0.90422,0.44171
4,16,7,4.666666667,1,7.23615,1.68853,0.44322,2.79234,0.92062,0.32222
4,16,7,4.666666667,2,7.8113,1.80107,0.47841,2.98349,0.96861,0.33912
4,16,7,4.666666667,3,7.41283,1.70839,0.45723,2.8618,0.92385,0.32389
4,16,8,4.666666667,1,6.58448,1.7687,0.47427,2.89908,1.00745,0.42995
4,16,8,4.666666667,2,6.23753,1.63046,0.40931,2.59855,0.85304,0.34821
4,16,8,4.666666667,3,6.70989,1.77012,0.44753,2.8822,0.93872,0.38269
7,16,1,7.666666667,1,7.0121,1.98408,0.71432,2.93704,1.35881,0.74134
7,16,1,7.666666667,2,6.76513,1.84329,0.6533,2.76535,1.25444,0.69447
7,16,1,7.666666667,3,7.06912,1.89173,0.69088,2.84699,1.31705,0.72193
7,16,2,7.666666667,1,5.37911,1.41432,0.78411,3.38353,1.43215,1.32458
7,16,2,7.666666667,2,5.26391,1.35345,0.75097,3.24299,1.35617,1.21826
7,16,2,7.666666667,3,5.58067,1.4383,0.81002,3.47417,1.4775,1.3395
7,16,3,7.666666667,1,6.23621,2.11779,0.65132,2.70668,1.2818,0.77543
7,16,3,7.666666667,2,5.71083,1.95324,0.57876,2.46093,1.15315,0.70804
7,16,3,7.666666667,3,6.21305,2.11668,0.64794,2.71992,1.26797,0.73763
7,16,4,7.666666667,1,5.43472,1.30321,0.76733,3.16792,1.23782,1.11509
7,16,4,7.666666667,2,5.30376,1.27971,0.75407,3.14038,1.23501,1.10578
7,16,4,7.666666667,3,5.56838,1.35877,0.79999,3.30439,1.30954,1.14692
7,16,6,7.666666667,1,5.37337,1.5119,0.69661,2.85731,1.29757,1.10661
7,16,6,7.666666667,2,4.85856,1.37227,0.64076,2.58002,1.17737,1.00078
7,16,6,7.666666667,3,6.05982,1.70133,0.78618,3.22577,1.46059,1.24017
7,16,7,7.666666667,1,7.01581,1.22712,0.79733,3.48598,1.42623,0.91222
7,16,7,7.666666667,2,6.91084,1.25197,0.80115,3.51643,1.4675,0.93406
7,16,7,7.666666667,3,6.46901,1.14736,0.72248,3.25093,1.32173,0.88192
7,16,8,7.666666667,1,4.95183,1.4373,0.53087,1.97561,0.9949,0.62234
7,16,8,7.666666667,2,7.09838,2.10566,0.79929,2.90183,1.47071,0.94792
7,16,8,7.666666667,3,6.65643,1.96724,0.76487,2.76141,1.41601,0.91082
8,16,1,8.666666667,1,6.55856,1.76893,0.72712,2.94557,1.36487,0.853
8,16,1,8.666666667,2,6.59016,1.75566,0.73979,2.97002,1.35196,0.85899
8,16,1,8.666666667,3,6.8343,1.82295,0.76097,2.96771,1.36889,0.84267
8,16,2,8.666666667,1,4.73277,1.36802,0.72173,3.03411,1.33879,1.2534
8,16,2,8.666666667,2,4.956,1.41773,0.74525,3.1705,1.35449,1.29744
8,16,2,8.666666667,3,4.85998,1.39183,0.73863,3.03125,1.31607,1.22333
8,16,3,8.666666667,1,6.42639,2.25742,0.68097,2.65836,1.3155,0.7946
8,16,3,8.666666667,2,6.51841,2.33141,0.72816,2.79489,1.37818,0.85362
8,16,3,8.666666667,3,6.01396,2.15216,0.64959,2.55167,1.25251,0.76854
8,16,4,8.666666667,1,5.61234,1.41814,0.80675,3.20831,1.30231,1.17433
8,16,4,8.666666667,2,5.47003,1.38778,0.76617,3.09696,1.2242,1.10848
8,16,4,8.666666667,3,5.72412,1.47392,0.81252,3.27973,1.31267,1.15097
8,16,6,8.666666667,1,5.0332,1.50309,0.70131,2.83608,1.29099,1.16267
8,16,6,8.666666667,2,5.56666,1.65574,0.78201,3.13953,1.42378,1.25075
8,16,6,8.666666667,3,5.60317,1.67625,0.8134,3.20605,1.48015,1.29127
8,16,7,8.666666667,1,6.12309,1.05717,0.74076,3.32334,1.32312,0.88812
8,16,7,8.666666667,2,6.55887,1.13666,0.77542,3.47714,1.39448,0.93111
8,16,7,8.666666667,3,6.5471,1.14829,0.7819,3.54349,1.41057,0.93658
8,16,8,8.666666667,1,5.85149,1.66138,0.67035,2.49474,1.23057,0.92169
8,16,8,8.666666667,2,6.6495,1.90005,0.79561,2.88728,1.43578,1.08438
8,16,8,8.666666667,3,6.35524,1.82819,0.7394,2.71694,1.35969,1.00976
10,8,1,10.33333333,1,6.75792,1.60201,0.72026,3.14334,1.37357,1.07846
10,8,1,10.33333333,2,7.54208,1.80561,0.83146,3.55154,1.55906,1.23165
10,8,1,10.33333333,3,6.85749,1.61979,0.75429,3.18786,1.38935,1.09042
10,8,2,10.33333333,1,5.757,1.43342,0.73999,3.32525,1.41103,1.33573
10,8,2,10.33333333,2,5.77738,1.47903,0.76953,3.38706,1.46799,1.36002
10,8,2,10.33333333,3,5.81249,1.43363,0.73513,3.30392,1.39872,1.33234
10,8,3,10.33333333,1,6.6819,2.06135,0.71296,2.92336,1.3683,0.95936
10,8,3,10.33333333,2,6.71392,2.06361,0.70268,2.89017,1.34243,0.95525
10,8,3,10.33333333,3,6.39197,1.95214,0.65002,2.71801,1.25374,0.89142
10,8,4,10.33333333,1,6.22676,1.40476,0.72503,3.29448,1.25268,1.11065
10,8,4,10.33333333,2,6.14055,1.4023,0.74556,3.30734,1.28776,1.11525
10,8,4,10.33333333,3,6.25801,1.43289,0.76953,3.41002,1.32685,1.16923
10,8,6,10.33333333,1,6.60889,1.75332,0.73301,2.96533,1.40321,1.20106
10,8,6,10.33333333,2,6.55776,1.7406,0.73883,2.98382,1.41991,1.19356
10,8,6,10.33333333,3,6.67427,1.76391,0.73567,2.96879,1.40317,1.18928
10,8,7,10.33333333,1,6.69615,1.02337,0.69333,3.46002,1.33306,0.88833
10,8,7,10.33333333,2,6.84754,1.06793,0.73515,3.60367,1.40011,0.93777
10,8,7,10.33333333,3,6.18587,0.97336,0.6886,3.33468,1.30702,0.88887
10,8,8,10.33333333,1,6.43498,1.58799,0.7091,2.98906,1.35913,1.11912
10,8,8,10.33333333,2,6.69384,1.60955,0.70702,3.00147,1.34144,1.12769
10,8,8,10.33333333,3,6.76597,1.61656,0.72089,3.05754,1.36509,1.13967
10,16,1,10.66666667,1,6.54341,1.54241,0.71397,3.16462,1.35514,1.10862
10,16,1,10.66666667,2,6.70797,1.59268,0.75897,3.31157,1.42718,1.16213
10,16,1,10.66666667,3,6.77875,1.57165,0.72434,3.20181,1.36143,1.12252
10,16,2,10.66666667,1,5.81312,1.41295,0.72908,3.29385,1.36243,1.28749
10,16,2,10.66666667,2,5.46351,1.32919,0.68175,3.09479,1.27435,1.2194
10,16,2,10.66666667,3,5.74543,1.43822,0.77171,3.41959,1.42689,1.33981
10,16,3,10.66666667,1,6.618,2.06235,0.73871,2.95825,1.4135,0.9942
10,16,3,10.66666667,2,6.55688,2.01762,0.71955,2.9103,1.35672,0.96474
