seq_1	seq_2	seq_3	seq_4	seq_5	seq_6	seq_7	seq_8	seq_9	seq_10	seq_11	seq_12	seq_13	seq_14	seq_15	seq_16	seq_17	seq_18	seq_19	seq_20	seq_21	seq_22	seq_23	seq_24	seq_25	seq_26	seq_27	seq_28	seq_29	seq_30	seq_31	seq_32	seq_33	seq_34	seq_35	seq_36	seq_37	seq_38	seq_39	seq_40	seq_41	seq_42	seq_43	seq_44	seq_45	seq_46	seq_47	seq_48	seq_49	seq_50	seq_51	seq_52	seq_53	seq_54	seq_55	seq_56	seq_57	seq_58	seq_59	seq_60	seq_61	seq_62	seq_63	seq_64	seq_65	seq_66	seq_67	seq_68	seq_69	seq_70	seq_71	seq_72	seq_73
GIJKM124	4034	3164	4517	863	671	106	206	619	19	197	204	285	293	447	231	129	51	193	201	107	164	141	40	66	16	0	0	47	48	40	0	50	22	10	0	0	13	0	0	10	0	0	7	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIJKM125	6632	5638	7959	1226	854	169	282	1235	38	345	397	506	478	747	352	252	84	329	363	197	188	202	54	123	34	0	0	64	85	51	16	90	30	25	0	0	16	0	0	0	8	0	14	0	10	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIJKM126	5095	3571	5486	643	460	103	100	751	29	166	323	333	296	393	241	105	0	142	181	109	147	143	59	53	24	0	0	66	65	26	17	49	17	10	0	62	14	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIJKM127	5300	2342	2345	1133	650	888	342	972	391	264	311	365	0	48	174	222	81	138	128	159	33	97	0	0	35	156	0	0	0	93	65	0	8	0	14	0	11	0	0	0	0	0	0	0	0	0	0	5	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIJKM128	8451	3181	3057	1824	1041	1639	424	1231	524	390	517	560	0	71	294	314	114	197	184	265	71	141	111	0	40	229	0	0	0	163	46	0	0	0	22	0	14	0	0	0	21	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIJKM129	2639	1004	1223	925	369	566	178	510	197	231	277	271	0	48	150	171	26	129	97	105	15	72	104	0	38	85	0	0	0	66	61	0	0	0	14	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIJKM130	12723	4774	4105	3643	4019	5418	450	1100	747	698	496	694	0	114	355	526	939	247	249	294	73	143	0	0	12	260	113	0	0	98	24	0	12	0	39	71	9	22	112	0	31	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIJKM131	8698	4243	2280	2300	2419	4364	376	637	854	512	381	425	0	69	250	335	823	146	143	255	58	105	70	0	11	214	177	0	0	68	28	37	0	0	24	0	9	0	91	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
GIJKM132	3306	1627	910	1844	1588	2515	171	307	342	287	217	247	0	33	132	121	542	68	80	85	26	40	74	0	0	79	100	0	0	44	25	0	0	0	12	0	0	0	61	0	0	0	3	0	0	0	0	0	10	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIJKM133	12396	3994	5164	3116	959	3419	500	1644	806	471	511	716	0	88	320	423	119	268	253	288	92	159	236	0	48	294	59	0	0	121	84	0	11	0	24	0	12	18	0	0	20	0	10	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
