GeneFamily,D1H16V1,D1H16V2,D1H16V3,D1H16V4,D1H16V7,D1H16V8,D1H8V1,D1H8V2,D1H8V3,D1H8V4,D1H8V7,D1H8V8,D2H16V1,D2H16V2,D2H16V3,D2H16V4,D2H16V7,D2H16V8,D2H8V1,D2H8V2,D2H8V3,D2H8V4,D2H8V7,D2H8V8
KO:K00001,1388,1577,1384,1428,1468,1300,2202,2271,1204,2553,1617,1773,4302,2291,2095,1617,1396,1794,1903,1538,1429,1609,1335,1455
KO:K00002,3378,2494,4745,1145,4127,1949,2614,5501,4088,1458,6347,1979,984,2692,2796,520,2207,986,1422,1591,4534,1003,6067,2980
KO:K00003,914,931,2755,857,1126,968,1045,1029,1890,1881,1226,1416,1083,957,2045,516,826,715,739,577,1867,870,758,861
KO:K00005,1404,1054,1843,1545,701,1211,1369,1547,1428,3489,1100,1900,1916,1548,1822,1217,619,1281,1233,678,1376,1423,779,1439
KO:K00007,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
KO:K00008,488,765,557,592,491,520,670,834,589,562,508,506,691,829,1081,418,1296,540,317,766,537,646,588,544
KO:K00009,188,70,246,202,107,153,208,72,201,701,180,331,437,71,236,152,92,155,176,45,217,161,154,166
KO:K00010,507,179,446,287,257,209,658,255,640,1813,548,730,992,227,401,197,140,323,320,89,303,249,288,464
KO:K00011,54,3,22,0,1,7,109,5,45,0,6,8,24,6,0,1,1,0,31,1,6,1,8,5
KO:K00012,1698,2434,1279,2012,1727,2000,2473,4472,1132,2422,2625,2604,4346,2708,2157,2209,1981,2419,1676,2182,1656,1643,1995,2264
KO:K00013,914,1220,1465,958,1367,1000,1410,1533,980,1345,1399,1162,3005,1723,1751,1639,1501,1539,1025,1100,1386,1193,1033,987
KO:K00014,702,935,2325,784,887,880,896,1458,1090,1241,970,1005,1667,1145,1724,639,873,1120,861,813,1492,888,667,840
KO:K00015,139,84,325,122,6,326,124,87,347,189,22,474,179,57,100,71,6,139,130,45,119,81,7,138
KO:K00016,3897,3824,17164,2392,2422,2996,2680,5609,7759,5065,2839,3379,3564,7124,9070,2026,4032,3172,2532,3074,11704,2434,2124,3384
KO:K00018,718,1501,924,744,1910,1151,971,1182,522,1273,1090,795,2123,1651,971,1246,2059,2031,1147,981,992,965,1007,829
KO:K00019,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
KO:K00020,364,321,417,305,479,221,549,414,355,1064,511,445,567,344,341,276,514,361,473,243,292,428,341,279
KO:K00021,48,10,60,82,22,33,45,29,46,297,51,61,99,12,55,27,11,28,29,14,36,40,27,28
KO:K00022,15,8,10,230,165,10,48,21,15,584,171,18,67,77,24,154,131,63,27,21,20,256,148,30
KO:K00023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
KO:K00024,6271,7951,21123,10362,12974,12719,5113,8722,9639,15735,5466,4773,5899,7861,12525,7819,16961,15488,6730,4694,16646,13610,5218,7302
KO:K00025,82,106,294,86,11,121,65,45,104,218,16,106,119,61,82,74,31,94,133,41,90,122,17,96
KO:K00026,10181,15200,15415,15708,20752,16013,8122,13242,7535,25352,8662,5902,12545,12456,12498,16426,24296,20328,18058,7349,14843,29753,7606,7916
KO:K00027,3267,2873,7488,2083,3047,2589,3204,3815,3841,4188,2618,3267,2621,4171,4088,1482,2008,2163,2073,2690,6454,2304,2120,3008
KO:K00028,109,38,114,104,39,54,119,48,106,553,122,146,267,36,91,37,30,71,121,12,84,18,47,85
KO:K00029,1029,1629,1112,1434,1453,1724,1204,1421,603,1539,1123,1026,3881,2186,1253,2095,2756,3227,1249,1146,953,1489,942,1104
KO:K00030,414,383,470,246,157,269,534,810,403,260,310,339,336,749,249,130,183,245,271,352,406,293,297,426
KO:K00031,1564,2670,2727,1508,2170,1919,2148,2072,1801,1981,1842,1661,3598,5189,2041,4074,3660,4261,2766,2343,2140,4133,1665,1851
KO:K00033,3093,4413,3405,3272,3549,3307,2512,3518,2545,5933,2547,2825,5198,8064,4702,6800,10323,11313,6161,4241,4230,9268,3192,4187
KO:K00034,192,51,152,190,123,97,203,88,321,824,227,395,361,52,175,70,36,129,144,28,104,106,132,188
KO:K00036,2178,2808,1648,2478,2178,2028,1960,2825,1307,3366,1982,1682,4541,5199,2278,6302,6382,6942,3950,2919,1903,6444,1864,2377
KO:K00040,145,153,265,155,475,157,251,228,208,244,490,236,593,412,364,272,385,414,220,202,341,222,436,197
KO:K00041,938,1028,700,1321,1510,1218,1348,1941,535,1355,1507,981,2528,1413,961,1259,1099,1256,1203,1012,745,1120,1261,1030
KO:K00042,146,117,328,261,212,94,328,184,371,493,285,253,428,219,384,133,317,117,147,110,339,156,191,105
KO:K00043,22,6,41,11,3,8,19,3,43,13,13,15,32,11,18,10,1,16,6,8,18,8,12,8
KO:K00045,11,115,14,8,47,49,14,92,17,14,66,79,45,215,135,18,117,245,17,218,58,20,224,173
KO:K00046,1448,1658,1562,2405,2457,1932,1527,3627,1154,4026,2098,1642,2656,2120,1683,1730,1772,1882,2298,1619,1343,3148,2045,2174
KO:K00048,1382,2036,2272,1472,2104,1786,1605,2274,1661,2459,1981,2291,3075,2609,2084,1683,1689,2466,2372,1725,1912,2186,1614,1601
KO:K00050,4,11,11,8,10,21,13,11,10,12,8,25,24,15,9,44,10,70,10,13,5,12,10,23
KO:K00052,1230,2784,4505,1262,3048,2961,1627,2001,1610,1552,1348,1957,2908,3248,3932,1757,3675,4173,1319,1283,3672,1408,1223,1533
KO:K00053,3156,4860,17393,3529,7970,6123,3333,3307,5440,4180,3528,3189,5277,5527,9244,4159,9348,8045,3359,2561,9486,4923,2719,3194
KO:K00054,94,46,516,97,22,142,88,57,342,285,44,252,103,186,253,44,10,97,48,95,301,71,27,133
KO:K00055,15,11,10,14,10,6,9,13,12,10,5,7,17,19,10,35,5,21,23,16,4,13,4,11
KO:K00057,2974,3996,4467,3200,3736,3636,3050,4222,3060,4074,2517,2843,4043,4719,4013,4214,4418,4822,2558,2240,3782,3633,2431,2812
KO:K00058,4302,6297,9816,5764,8857,7060,3731,6441,3884,8834,4665,3453,4794,6372,7201,6430,7923,8576,5966,3876,7722,8925,4279,4513
KO:K00059,9274,12707,13866,11143,15679,14522,6950,12628,7475,15977,7839,7070,10945,14431,11790,15599,16899,18275,12232,7195,11392,15123,7511,8614
KO:K00060,387,665,921,611,537,478,409,640,858,596,342,374,717,737,1453,382,1438,517,286,683,1001,715,521,500
KO:K00064,4,0,5,0,0,0,5,0,8,0,0,0,7,0,10,1,0,0,5,0,14,0,1,0
KO:K00065,283,218,169,139,235,168,421,390,245,198,371,276,831,533,334,191,247,308,296,178,269,130,205,194
KO:K00066,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,3,1
KO:K00067,3217,4295,4039,3429,3589,3621,3586,5566,2374,3879,3618,3208,5181,4769,4058,4197,3968,4975,2431,2435,3873,2996,2579,2985
KO:K00068,162,62,187,173,88,113,208,97,218,719,189,294,411,50,179,122,42,95,168,29,184,100,132,150
KO:K00073,216,72,266,135,282,110,253,112,260,743,346,325,472,81,302,91,189,173,250,49,257,65,207,173
KO:K00074,7744,6998,16615,3758,9284,4468,6440,12208,11542,4696,12345,4893,2795,8128,18400,2079,5315,3563,3371,4114,17181,3938,14302,6812
KO:K00075,1902,2089,2669,1913,1840,1763,2519,3234,2214,2894,2253,2569,3962,2691,2326,1893,1654,1950,1892,1617,2148,2117,1763,1973
KO:K00076,31,62,93,34,112,28,105,79,107,86,164,84,130,47,105,32,56,24,46,39,93,27,47,34
KO:K00077,1648,2269,2665,2078,2367,1724,2015,2408,1753,3596,2255,1806,3585,2120,3676,1865,2325,2467,2079,1327,2363,2057,1707,1732
KO:K00082,84,118,43,66,122,86,139,144,59,99,165,89,179,138,80,70,148,124,128,108,78,99,114,78
KO:K00086,151,82,640,118,26,220,147,79,344,158,21,408,223,60,546,85,14,258,191,54,381,65,49,196
KO:K00087,14569,14955,8818,6865,7738,5379,18119,23682,8970,11094,9015,7259,11399,23228,6398,8352,5532,8703,8348,12160,9188,10509,7706,9217
KO:K00088,5193,8610,11629,6668,11238,9184,5063,7938,6354,10074,5731,5293,7621,8259,10890,7103,9745,9977,5930,4384,8978,7574,5082,5761
KO:K00090,27,6,63,7,0,38,40,7,65,9,2,91,125,10,60,3,2,41,43,12,60,9,1,28
KO:K00091,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
KO:K00094,43,60,121,71,15,32,154,94,162,132,35,106,169,61,149,66,12,28,42,32,132,67,18,41
KO:K00096,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K00097,2493,3239,2024,3651,4116,3995,2204,3220,1301,3473,2224,1757,3669,3875,2121,5772,4853,5471,3556,1990,1920,4785,2179,2302
KO:K00098,16,0,245,16,3,95,29,1,267,18,0,169,54,3,348,8,0,48,19,0,296,7,0,51
KO:K00099,2165,2478,2184,1849,2580,1905,2813,2758,1580,2924,2113,2061,3735,2315,2014,2241,2307,2214,3022,1886,1939,3070,1728,1532
KO:K00100,11018,9169,13341,12386,11955,9420,10575,21610,18837,13502,16235,13082,9663,12819,15528,8864,8369,8358,6730,6416,16008,11888,17539,14036
KO:K00101,43,6,90,7,3,30,65,14,80,17,0,65,191,6,82,0,3,27,45,4,69,8,0,33
KO:K00102,851,909,1412,816,296,946,734,636,1118,1405,164,1344,1495,799,596,1973,421,1173,886,500,625,879,244,766
KO:K00104,1155,1136,1960,625,1080,818,837,2057,1871,891,1330,690,437,979,1124,304,551,498,473,662,1339,589,1606,980
KO:K00105,341,92,197,476,141,173,349,136,270,1508,304,370,644,63,219,216,85,203,255,40,211,216,174,219
KO:K00108,28,8,66,6,6,39,43,9,78,5,2,163,129,7,92,5,0,23,28,3,84,4,2,28
KO:K00111,2395,2036,3513,1663,2894,1661,2562,4192,2529,2456,4188,2537,2083,3477,1847,1180,1877,1443,2060,2631,3129,2518,4659,2654
KO:K00112,37,5,126,8,5,40,38,14,67,31,5,80,115,2,66,8,0,42,45,6,82,8,5,30
KO:K00113,33,4,75,9,19,32,18,5,58,17,2,67,124,2,95,4,8,41,34,3,67,9,6,32
KO:K00114,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
KO:K00116,33,2,44,4,1,441,47,9,57,13,3,508,118,3,86,2,2,294,21,1,70,5,5,302
KO:K00117,57,10,136,6,1,56,70,16,149,10,7,178,252,5,163,14,0,50,67,9,151,3,4,32
KO:K00119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
KO:K00120,1345,2071,2256,1890,1789,1904,1375,2010,1682,3212,1497,1780,2820,2337,2964,1400,2443,2690,2456,1430,2247,2596,1432,1609
KO:K00121,42,4,100,248,24,70,70,22,112,332,32,178,140,2,112,62,12,56,26,8,98,118,12,88
KO:K00122,412,258,707,337,110,759,399,299,1018,363,189,1228,630,242,344,255,152,498,351,180,374,168,132,425
KO:K00123,1849,1238,1652,1260,675,1017,1799,2611,2179,2253,1306,2228,1656,1468,1514,593,488,883,1069,701,1743,1246,1189,1949
KO:K00124,54,71,248,128,14,47,135,148,214,151,20,107,140,77,245,107,17,48,67,41,224,147,18,58
KO:K00127,44,28,77,10,38,32,74,37,69,27,46,68,180,46,73,40,25,69,55,12,76,19,26,31
KO:K00128,323,282,450,248,208,345,423,593,539,328,380,655,316,376,660,203,167,340,179,186,487,243,257,443
KO:K00129,25,10,8,11,4,5,12,15,6,11,3,21,7,9,9,3,2,6,11,4,9,11,1,11
KO:K00130,57,78,116,84,20,83,133,118,198,115,23,179,227,67,217,92,28,116,77,50,152,52,12,73
KO:K00131,305,241,1352,145,11,333,186,68,511,281,2,258,127,596,541,73,10,264,156,200,674,177,14,323
KO:K00132,1,13,22,20,9,3,2,2,10,80,24,10,3,6,9,10,9,10,7,8,10,24,18,9
KO:K00133,1955,2624,3725,2349,4163,3105,2258,2623,2261,3931,2309,2483,2884,1996,3432,1929,2841,2646,2110,1354,2646,2665,1778,1762
KO:K00134,48091,68175,169392,63303,108782,91544,31870,55909,84404,82169,42957,31550,42806,79233,138399,50881,116478,100965,36017,29304,121226,63349,39224,46381
KO:K00135,139,50,1983,59,4,180,127,24,628,163,19,232,179,318,667,94,6,180,82,81,1259,109,12,229
KO:K00137,18,4,44,2,0,26,20,4,44,17,5,71,93,4,55,2,2,16,25,6,49,6,4,29
KO:K00138,33,6,98,12,7,35,61,8,81,18,8,122,146,5,86,3,3,40,42,10,127,14,3,31
KO:K00140,397,116,293,179,178,124,411,171,548,1455,428,552,611,139,300,100,88,214,237,39,222,112,195,325
KO:K00145,4966,6110,9317,8988,7420,7316,4828,15119,9978,10446,7230,5799,6689,10015,8237,6619,6786,5683,3747,4203,7030,6890,5886,5092
KO:K00146,26,3,53,5,1,28,35,13,61,7,4,96,122,5,76,2,2,27,30,6,62,4,2,38
KO:K00147,2300,2626,2684,2164,2585,2033,3080,4056,2478,3156,2975,2780,3959,2438,2682,1954,2168,2198,2200,1712,2389,1972,2155,1829
KO:K00148,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K00151,22,3,13,0,2,1,20,2,9,1,0,1,125,2,16,1,0,0,26,2,18,0,0,3
KO:K00154,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K00155,8,8,12,7,1,8,15,11,3,12,1,2,5,6,4,3,2,3,5,10,8,16,2,0
KO:K00156,889,1098,943,1035,617,1005,1319,1860,1043,1346,1207,1811,3429,1665,1103,958,979,1491,1472,1164,961,1241,856,1091
KO:K00157,35,27,26,19,9,25,25,35,24,44,17,48,81,62,24,86,8,122,46,41,30,36,10,34
KO:K00158,7,0,3,255,10,164,4,0,0,336,8,180,3,1,0,129,4,122,2,0,1,107,10,142
KO:K00161,777,711,2030,716,660,729,925,740,574,1754,535,816,988,736,1033,376,660,839,964,533,1274,964,481,784
KO:K00162,746,725,2907,757,621,719,949,860,663,1945,517,832,957,897,1174,371,628,854,1065,618,1624,1005,517,756
KO:K00163,181,29,517,24,8,140,176,61,342,69,8,396,279,19,284,7,3,119,180,23,410,52,14,142
KO:K00164,48,20,93,18,13,73,62,11,111,95,17,148,158,10,126,17,14,48,47,16,93,47,16,75
KO:K00166,89,38,82,82,55,63,116,31,114,457,100,175,159,21,77,24,34,71,87,7,66,61,51,89
KO:K00167,74,31,64,74,37,52,111,51,84,342,82,124,159,10,63,24,26,52,65,7,55,15,55,84
KO:K00169,27,27,82,34,115,35,28,38,81,87,169,136,54,60,47,79,104,46,22,23,46,38,91,47
KO:K00170,16,23,32,33,72,14,28,27,26,70,100,17,26,24,20,22,31,13,9,13,24,28,46,11
KO:K00171,1,14,13,9,35,4,9,5,14,25,43,7,15,11,12,21,40,4,6,14,8,15,25,6
KO:K00172,14,22,43,21,62,26,17,27,42,40,83,79,18,28,44,53,60,20,18,14,33,19,53,29
KO:K00174,3860,6487,4092,5007,6236,5468,4643,5883,2744,6408,3677,3649,8515,7429,3861,9070,8158,9553,5762,3996,3936,6931,3621,4143
KO:K00175,4867,6656,4207,5408,8878,6077,4477,6152,2144,7663,4596,3444,6394,6090,3702,8282,8268,8327,6689,3938,3816,9474,4303,4076
KO:K00176,345,654,309,524,649,535,608,745,226,662,488,378,870,872,432,652,878,941,629,528,383,589,455,461
KO:K00177,1777,2410,1422,1837,2926,2015,2162,2478,825,3081,1741,1342,2477,2435,1229,2165,2883,2778,2578,1781,1331,3201,1609,1637
KO:K00179,1991,3133,2161,2133,4019,2370,3054,3339,1414,2985,2856,1598,4262,2915,2436,2310,3461,3117,2376,1891,2304,2395,2313,1750
KO:K00180,735,1193,879,900,1557,888,1120,1454,578,1273,1094,653,1701,1076,856,798,1263,1072,982,773,788,979,952,687
KO:K00183,40,71,147,37,314,40,43,78,85,30,378,26,67,88,58,17,322,49,26,54,107,31,261,46
KO:K00184,3,1,0,3,2,2,2,5,2,3,3,1,5,1,0,1,1,1,1,0,3,1,1,1
KO:K00185,1,1,1,2,0,1,0,2,1,1,1,8,2,1,0,0,5,0,0,0,1,5,0,4
KO:K00188,1,1,1,0,0,0,5,0,1,0,2,2,9,1,1,0,0,0,0,0,1,0,0,0
KO:K00189,6,0,0,0,0,0,6,0,1,0,2,1,3,1,0,0,0,0,1,0,0,0,0,0
KO:K00194,1,5,4,3,2,3,2,12,10,1,8,6,5,16,4,1,3,6,1,2,6,4,3,2
KO:K00197,0,4,4,1,0,6,0,4,8,1,1,4,0,44,2,8,2,24,1,0,5,8,0,4
KO:K00198,559,529,1182,468,156,587,680,337,860,919,126,851,1816,982,623,938,423,1926,666,421,697,891,193,505
KO:K00207,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
KO:K00208,2960,5925,5036,4102,7288,6527,1912,4259,1974,6950,2538,2204,2947,3112,4390,3979,6446,6027,3378,1679,4481,4567,2485,2364
KO:K00210,219,251,178,149,171,166,320,411,146,309,264,259,351,245,170,134,100,169,196,199,165,167,164,152
KO:K00215,1403,1722,2858,1471,1722,1722,1784,1897,1707,2596,1335,1942,2838,1927,2215,1544,1905,2328,1703,1192,1855,1878,1126,1301
KO:K00216,17,5,34,4,0,10,22,3,44,3,3,40,73,0,57,2,0,9,16,0,33,7,1,12
KO:K00219,31,5,108,21,10,42,64,20,90,31,12,104,175,7,131,12,2,37,45,6,90,11,20,33
KO:K00226,4752,6752,13203,5593,7039,7081,4971,8050,5028,8594,5003,5251,7962,8922,8722,5495,8034,8380,6052,5166,11686,7332,4367,5641
KO:K00227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
KO:K00228,24,2,33,5,2,20,19,8,40,3,0,46,80,1,35,4,0,16,20,2,49,1,0,15
KO:K00230,112,226,123,127,176,219,202,421,80,148,194,268,298,180,224,88,216,305,146,147,136,89,175,196
KO:K00231,309,194,659,222,41,482,245,172,747,355,102,928,355,111,291,195,30,259,213,95,282,143,41,362
KO:K00232,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K00236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K00239,7660,11897,10568,11409,15076,13351,6455,10551,4904,15135,7408,6423,10167,7922,7998,14525,12611,13673,10954,5386,7928,15506,7138,7718
KO:K00240,3324,6069,5377,4461,5452,5409,2699,3656,2117,7364,2421,2517,4892,4131,3830,7613,5600,6923,5428,2662,3922,7179,2989,3581
KO:K00241,2342,4132,4319,3957,4343,4530,1685,2886,1627,6181,1689,1943,2887,2673,2514,4869,4052,4922,3125,1441,2651,4570,1629,2518
KO:K00242,10,4,33,4,7,9,18,10,30,13,4,28,43,4,33,2,2,8,19,1,17,11,0,17
KO:K00243,1835,2254,5754,2410,3108,2636,1817,3354,2415,2932,2220,1913,2556,2125,3695,2014,2335,2371,2054,1499,4675,2779,1754,2122
KO:K00244,1482,1743,4052,1640,297,1392,1102,728,2144,3848,420,1821,1838,1440,1997,748,175,1268,1619,592,1753,1471,264,1151
KO:K00245,934,1453,2404,1031,32,794,549,340,645,2533,11,636,836,701,551,420,9,786,1236,317,672,1095,16,542
KO:K00246,802,939,2201,865,25,791,533,264,653,2106,22,648,704,512,471,364,9,673,1013,235,647,824,16,493
KO:K00247,19,0,84,2,0,8,33,6,51,7,0,41,60,0,67,2,1,16,33,3,37,4,0,16
KO:K00248,7519,7871,18704,4454,7153,4365,6585,13032,10250,6303,9443,4220,3346,8350,19737,2637,4902,3076,3638,4548,16483,4897,9161,5589
KO:K00249,18,7,101,1,0,6,8,3,60,1,0,2,4,8,21,0,0,17,9,6,36,3,1,3
KO:K00253,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
KO:K00255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K00256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
KO:K00257,2925,3587,4779,2824,4532,3734,2745,3256,2471,4564,3072,2328,3301,4990,2599,3932,3961,4964,3689,2651,2929,4105,3131,3088
KO:K00259,4604,4221,8884,7669,2401,2203,9225,8652,11248,11364,3851,3512,2727,3637,8123,3319,1529,1594,3225,3176,10932,12248,3349,3294
KO:K00260,5378,6481,10378,7297,5557,4644,5878,14360,10302,9121,6737,3769,3783,10579,7495,4302,5168,3592,3599,3834,10077,7218,5361,4546
KO:K00261,5359,5252,970,2612,5735,3060,9070,5459,954,5258,3190,3662,6872,7185,574,2868,5867,4766,8803,4854,693,7734,3744,2979
KO:K00262,15878,24269,14554,16034,34799,20283,11885,29246,8570,19949,20070,13819,13955,18482,15062,20224,26439,22843,26979,15282,11732,31949,18203,16240
KO:K00265,5808,6310,17340,5248,4554,6184,8368,8452,13260,7826,7032,12238,17420,9318,11700,6060,3886,6308,6970,6472,11232,5372,5060,6612
KO:K00266,15112,19294,19588,13360,22194,14932,19158,23886,15150,18490,17722,13516,25358,22186,14528,16532,22012,18478,15412,13516,15906,16308,14882,12278
KO:K00274,4,1,2,10,1,6,2,3,5,5,3,6,12,9,2,22,2,20,7,2,1,9,3,2
KO:K00275,528,782,517,644,565,584,614,806,449,787,580,646,1335,1177,626,1146,1197,1522,893,968,632,1332,598,755
KO:K00276,26,8,62,2,1,39,44,11,85,6,1,145,140,3,92,1,1,31,42,12,57,9,0,27
KO:K00278,1493,2031,1642,1783,1821,1607,2160,3117,1279,2197,2337,1917,4583,2539,1948,1934,2097,2399,1842,1712,1652,1707,1638,1487
KO:K00281,780,1066,686,866,1093,1018,1170,1768,526,1288,1276,1141,1583,1546,940,711,786,1166,901,1113,725,837,1450,1375
KO:K00282,5119,4845,3586,8639,5042,4400,9868,8847,5344,8593,3358,5673,5425,8056,4464,8344,3595,5604,6045,4487,5751,11286,4109,6813
KO:K00283,6905,6966,4525,12056,7715,6649,13878,13901,6684,12057,6079,8496,10164,11280,5743,9901,5165,7165,9844,6458,6646,14348,6351,8911
KO:K00284,63,31,119,43,8,91,52,32,216,89,18,201,105,15,45,37,11,47,37,23,46,39,11,64
KO:K00285,29,5,66,8,0,27,37,4,33,18,3,75,83,4,48,5,1,20,24,2,72,14,6,21
KO:K00286,2266,2519,3292,2172,2211,2034,2997,3461,2651,3807,2552,2824,3979,2700,2341,2002,1772,2286,2670,1933,2538,2502,1797,2031
KO:K00287,1338,1494,2183,1540,1724,1789,1351,1745,1398,2550,1219,1375,2006,1637,1613,1607,1859,2021,1586,945,1567,2023,1011,1317
KO:K00288,0,0,0,0,3,24,0,0,0,0,0,30,0,0,0,0,0,12,0,0,0,0,0,12
KO:K00290,393,471,582,676,579,825,537,1221,401,962,717,620,616,301,446,359,349,395,329,302,536,502,355,394
KO:K00294,116,29,494,264,58,122,143,48,155,334,22,127,128,21,1077,135,22,107,140,20,249,301,20,60
KO:K00296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
KO:K00297,1309,1760,2264,1635,2198,1732,1495,2155,1203,2105,1641,1178,2619,2235,2679,2699,2594,2658,1609,1119,2390,1932,1293,1168
KO:K00298,0,0,0,30,1,0,0,0,0,25,0,0,0,0,0,4,0,0,0,0,0,25,0,0
KO:K00299,22,0,33,3,1,19,13,2,37,3,0,41,52,0,39,2,0,16,15,4,43,2,2,10
KO:K00302,566,557,1382,558,1004,561,770,1341,1044,857,1281,762,671,1064,1476,509,872,461,361,443,1295,629,1309,739
KO:K00309,12,5,6,6,4,7,10,3,1,13,2,4,6,2,13,5,4,4,17,4,9,5,6,15
KO:K00311,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
KO:K00313,1405,1327,1732,614,698,899,1438,2266,2041,759,1161,1705,1021,1115,891,243,354,523,741,774,1397,535,926,1187
KO:K00318,137,148,124,146,24,83,153,123,135,101,11,170,2130,892,186,455,143,243,1062,460,121,448,73,140
KO:K00319,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KO:K00322,38,9,85,14,9,46,41,8,86,28,4,97,142,9,83,3,2,26,29,6,87,17,3,37
KO:K00324,39,55,103,92,10,68,46,12,87,232,4,95,120,64,109,91,10,120,32,28,120,156,7,78
KO:K00325,48,64,99,75,6,47,46,21,94,186,1,102,145,74,86,83,7,121,44,42,80,138,7,90
KO:K00329,6,4,0,3,3,1,4,5,2,3,8,9,3,12,3,0,1,1,2,8,5,10,7,1
KO:K00330,207,334,186,254,200,285,356,470,155,341,339,283,724,360,219,388,314,438,232,204,192,256,212,243
KO:K00331,357,478,243,474,320,379,627,919,256,553,595,529,1344,541,365,471,388,576,415,428,305,375,376,436
KO:K00333,673,849,308,907,458,627,1109,1568,258,940,937,756,2700,1089,531,1150,595,904,821,702,383,592,610,627
KO:K00334,1540,1637,2016,1300,2915,1386,1705,1833,1965,1895,1997,1585,3001,2260,1683,1423,2579,2272,1730,1356,1799,1905,1648,1267
KO:K00335,2878,3077,4495,2485,5110,2292,4138,4092,3857,3708,4260,3407,6109,3870,3580,2452,3521,3271,2770,2556,3796,3396,3438,2499
KO:K00336,3121,3494,5834,2729,6890,3216,5045,4072,4921,3932,5119,3913,6445,3887,3998,2686,4592,3860,3725,2825,4514,4049,3939,2457
KO:K00337,519,792,443,614,537,717,811,1122,297,765,682,686,2191,1072,671,1232,694,1138,769,713,418,616,598,642
KO:K00338,238,423,172,281,261,311,379,546,144,410,361,382,1027,473,277,409,320,423,336,363,229,305,276,331
KO:K00339,275,491,264,351,348,393,436,601,157,492,430,410,1036,456,362,512,370,554,438,419,283,293,339,384
KO:K00340,205,316,174,199,238,209,319,380,99,335,270,245,597,302,206,345,254,302,298,257,163,165,229,223
KO:K00341,914,1343,645,974,772,904,1467,1759,504,1338,1207,1170,3188,1531,933,1986,1005,1418,1129,1033,682,733,869,873
KO:K00342,711,957,574,784,585,743,1119,1438,376,928,996,899,2479,1258,705,1303,687,1080,924,901,510,599,797,721
KO:K00343,873,1134,635,834,926,901,1171,1416,372,949,955,980,2674,1229,788,1222,844,1122,1208,1025,567,1062,907,782
KO:K00344,38,6,60,8,4,42,42,6,84,16,0,102,108,5,67,0,1,29,35,2,65,11,6,33
KO:K00346,1188,3331,2046,2734,4109,4298,1110,2378,859,3430,1143,944,2933,2181,2284,3261,4922,5376,1279,929,1949,1893,1304,1641
KO:K00347,2123,3834,2882,4318,5654,5956,1712,3641,1372,5226,2154,1698,3623,3005,2834,4983,6283,6502,1887,1318,2633,3356,2065,2727
KO:K00348,1297,2200,1640,2278,3496,2993,1221,2287,782,3072,1443,1095,1904,1547,1604,2043,2911,3029,1219,837,1518,2064,1406,1757
KO:K00349,1573,2571,2084,2962,4324,3428,1582,2380,984,3636,1627,1327,2110,1977,1815,3317,3886,3858,1667,1074,1833,2787,1567,2010
KO:K00350,1895,3040,2198,3041,4256,3849,1740,2317,958,3456,1863,1280,2398,2463,2128,3874,5086,4732,2062,1262,1989,2775,1608,1860
KO:K00351,3591,5103,3663,4704,6759,5312,3032,3647,1718,4893,3169,2618,4504,4217,3566,6549,7131,7177,4417,2257,3513,4766,2748,2892
KO:K00353,38,40,1,28,58,10,77,53,0,39,29,22,47,47,0,24,55,31,63,34,1,61,28,18
KO:K00355,206,84,380,119,15,344,158,74,705,218,25,807,212,43,137,151,11,176,125,58,181,115,14,159
KO:K00356,635,416,611,1062,542,283,385,441,321,2443,655,342,556,749,552,480,784,373,334,268,488,658,426,272
