GeneFamily,D1H16V1,D1H16V2,D1H16V3,D1H16V4,D1H16V7,D1H16V8,D1H8V1,D1H8V2,D1H8V3,D1H8V4,D1H8V7,D1H8V8,D2H16V1,D2H16V2,D2H16V3,D2H16V4,D2H16V7,D2H16V8,D2H8V1,D2H8V2,D2H8V3,D2H8V4,D2H8V7,D2H8V8
KO:K01785,3529,4838,4299,4605,5925,4734,5009,7116,2723,6190,5528,4237,8067,5455,4152,4612,4059,4783,4750,3541,3358,4831,4230,3755
KO:K01786,895,1020,1338,827,1253,722,1147,1143,1145,1209,1114,851,1758,1719,1434,1273,1299,1524,858,720,1579,778,987,793
KO:K01787,1693,2427,1341,2076,1998,1766,3082,4291,1234,2962,3233,2573,4723,2183,1661,1607,1258,1604,1995,2132,1255,2183,2052,1831
KO:K01788,639,446,1204,457,450,448,766,650,900,1422,686,836,957,540,702,289,301,469,525,279,884,261,412,490
KO:K01790,1402,2477,3257,1652,2242,2037,1710,2580,2349,2197,1922,2054,2130,2406,2673,1092,2006,2203,1072,1182,2316,1199,1251,1578
KO:K01791,2274,3024,2360,2883,2409,2492,3233,4694,2139,4418,2970,3191,5108,2900,2637,2921,2417,3393,2703,2166,2411,2851,2186,2597
KO:K01792,8,0,8,1,0,1,7,2,3,0,0,9,8,1,5,0,0,1,2,0,3,2,0,1
KO:K01795,1336,1752,765,1349,1098,1186,1999,4229,830,1833,2541,2402,2592,1518,1400,1050,1010,1287,1051,1546,1022,1023,1539,1684
KO:K01796,0,1,0,2,1,0,0,0,3,0,4,0,49,18,5,7,4,8,6,14,6,2,5,7
KO:K01797,12,27,24,7,11,10,71,44,19,24,23,12,69,47,17,19,22,13,27,34,19,19,18,10
KO:K01800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
KO:K01802,4875,7232,5258,7814,9147,9055,3824,6386,3098,9198,4318,3569,5281,4710,4263,6089,6757,6527,5214,3207,4605,8331,3862,4506
KO:K01803,11292,13634,24133,14028,20845,14774,8681,12411,11166,16200,9877,7152,9458,13006,22084,13031,19101,16920,12281,7818,17304,19387,8771,9503
KO:K01804,2547,3032,1849,2786,3715,2342,3069,4643,1658,3879,3888,2590,4809,3395,2690,2317,2193,2518,3024,2154,3473,2756,2699,2154
KO:K01805,1260,1209,643,1433,1354,1239,1741,2349,739,1908,1671,1401,2471,2095,1037,1337,908,1422,1565,1140,839,1211,1318,1487
KO:K01807,542,579,2392,539,529,622,676,678,1049,882,524,771,1010,608,1218,658,544,936,547,487,1429,557,417,638
KO:K01808,2025,2938,2307,2261,3616,3220,1917,3359,1773,3023,2498,1939,2387,3024,2223,2470,3982,3984,2180,1648,2179,2666,2251,2135
KO:K01809,5399,6833,7521,6442,7775,6616,5744,11075,3932,9359,8128,7099,7536,8417,6069,5267,5030,6310,5724,6180,6726,6646,5433,6130
KO:K01810,6494,7238,13953,7097,11149,8244,5625,8834,9536,11209,7608,5978,8184,10493,12246,9114,11294,10867,7048,5488,11525,10007,7002,6916
KO:K01811,1722,2375,948,2006,1450,1547,2739,3200,1217,2761,2347,2540,5725,2968,2039,3750,1691,3000,2394,2885,1350,2115,2754,2951
KO:K01812,1302,1519,1152,1624,2506,1537,1721,2625,932,1877,2218,1454,3328,2490,1416,1743,2020,1956,1720,1625,1282,1620,1855,1530
KO:K01813,781,602,522,669,514,407,1106,1092,642,1863,956,1112,2207,718,778,521,330,602,759,606,548,488,751,659
KO:K01814,596,936,780,866,928,699,974,1295,749,1000,1131,869,2035,1203,1102,1010,911,946,714,805,795,921,742,748
KO:K01815,2159,2967,2703,4430,4769,4277,2611,5931,1869,6481,3269,2711,4287,2750,2726,2196,3179,2955,3104,2221,2292,3590,2769,2827
KO:K01816,28,2,48,43,4,22,52,5,52,68,1,54,94,3,56,11,0,22,17,0,42,48,1,14
KO:K01817,468,728,348,560,635,449,902,1111,415,860,925,831,1205,783,460,557,497,596,593,608,391,582,608,494
KO:K01818,997,1415,763,1134,1305,952,1661,2252,869,1563,1671,1495,3225,1899,1193,1479,1016,1321,1448,1316,879,1230,1167,1056
KO:K01819,18693,3386,30157,2356,5350,6050,1531,818,3896,4170,6163,2466,2909,2546,6867,532,2285,2416,4486,422,15091,1036,3539,4854
KO:K01820,113,96,52,60,182,86,108,198,81,43,285,133,155,216,137,150,168,156,113,143,78,41,209,74
KO:K01821,272,104,408,271,117,221,298,151,341,841,223,371,383,88,257,102,88,195,202,61,213,173,109,204
KO:K01822,0,1,1,2,0,0,0,5,1,2,0,0,0,0,0,2,0,0,0,1,2,2,0,0
KO:K01823,889,840,1237,801,449,487,1081,2020,1070,1321,878,1015,951,1004,896,352,238,413,501,599,1032,583,570,863
KO:K01825,204,40,308,8,28,156,220,68,444,52,12,580,1012,20,400,8,0,140,196,16,344,48,16,104
KO:K01826,17,18,19,30,5,27,20,13,16,71,1,45,94,28,4,19,2,44,10,13,11,30,1,53
KO:K01828,73,31,136,36,3,155,55,43,205,106,10,341,75,24,45,41,1,93,81,24,87,55,2,89
KO:K01834,11446,13489,18615,10746,14959,13004,10727,12564,10690,15233,9966,10191,17559,17124,14717,15956,21515,22261,11296,7915,14752,12889,9105,9956
KO:K01835,1053,953,2332,950,1930,1196,1267,1081,2112,2133,1447,1577,2509,2086,1839,1555,1778,1891,1181,1001,1806,1476,1172,992
KO:K01838,213,161,578,533,145,203,191,139,419,1405,208,276,396,134,795,141,78,368,227,41,512,288,169,363
KO:K01839,1014,718,3634,895,654,917,942,767,1864,2106,793,1491,1453,944,1796,554,708,1022,858,511,1836,664,576,918
KO:K01840,10251,11499,19318,12157,18666,14204,8794,14320,9176,16824,11746,9129,12119,14069,12770,16698,16977,17245,13202,7622,14873,17778,10265,10707
KO:K01841,1179,1333,294,1237,979,700,2063,2983,366,1462,1603,1369,1847,1311,577,703,836,782,1057,974,479,1140,889,754
KO:K01842,2,8,34,7,10,33,2,7,41,13,11,63,3,17,19,58,19,32,4,4,16,33,11,20
KO:K01843,1569,2054,960,1904,1914,1322,2694,3173,857,2291,2425,1679,3080,1273,1132,1321,1382,1394,1922,1241,1031,2253,1444,1174
KO:K01844,5,0,109,65,2,30,3,0,62,89,1,21,12,0,73,39,14,31,11,0,87,128,7,45
KO:K01845,292,232,691,285,74,503,256,177,681,592,74,925,421,173,337,221,49,333,306,107,334,295,53,364
KO:K01846,33,62,159,741,634,60,52,150,163,1989,605,52,49,64,151,588,777,83,38,35,181,1027,614,72
KO:K01847,9349,11106,8993,12307,15510,16102,10122,14412,6592,15412,9556,9689,13738,16239,8691,16119,17617,21055,15122,9412,8020,19814,9994,11204
KO:K01848,1693,2305,4408,1559,33,1120,919,594,812,3957,21,488,1462,1316,860,673,16,1118,2555,577,1052,1708,13,785
KO:K01849,478,845,1280,466,13,372,251,198,320,1190,10,279,428,496,265,156,3,328,661,182,284,492,2,271
KO:K01850,429,759,394,477,495,449,660,781,228,574,566,499,1490,661,459,745,480,662,629,552,436,384,438,425
KO:K01851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
KO:K01854,878,907,1256,687,1183,831,1112,1108,1011,988,1214,1223,1829,1377,932,689,936,894,1683,822,810,994,975,731
KO:K01856,0,1,0,3,3,0,3,2,4,7,5,1,24,22,9,3,8,3,15,6,8,7,14,7
KO:K01857,5,3,10,1,1,4,3,9,4,8,0,8,5,8,5,4,1,7,5,5,12,4,1,3
KO:K01858,6390,10007,12145,11706,15959,17131,4128,11738,4262,16647,6378,4416,8677,13043,10484,11497,22203,21339,7279,4097,11190,10561,6382,8257
KO:K01860,803,1263,478,1018,839,871,1275,2002,516,1374,1153,1004,2756,1755,884,1730,1049,1428,968,1123,733,1084,973,905
KO:K01861,1,2,1,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
KO:K01865,10,0,10,23,3,1,18,3,15,28,2,2,53,21,13,19,16,10,9,3,15,16,7,3
KO:K01866,7267,9184,11645,8712,10070,9095,5151,8656,6567,13618,5681,5718,8561,9402,9851,9943,9534,11454,9116,4317,9079,11395,5186,6765
KO:K01867,4073,5875,6266,3815,6795,4740,4248,5371,3989,6679,4341,4171,5844,6152,5291,5991,7109,6522,4660,3065,5403,5443,3568,3793
