seq_1	seq_2	seq_3	seq_4	seq_5	seq_6	seq_7	seq_8	seq_9	seq_10	seq_11	seq_12	seq_13	seq_14	seq_15	seq_16	seq_17	seq_18	seq_19	seq_20	seq_21	seq_22	seq_23	seq_24	seq_25	seq_26	seq_27	seq_28	seq_29	seq_30	seq_31	seq_32	seq_33	seq_34	seq_35	seq_36	seq_37	seq_38	seq_39	seq_40	seq_41	seq_42	seq_43	seq_44	seq_45	seq_46	seq_47	seq_48	seq_49	seq_50	seq_51	seq_52	seq_53	seq_54	seq_55	seq_56	seq_57	seq_58	seq_59	seq_60	seq_61	seq_62	seq_63	seq_64	seq_65	seq_66	seq_67	seq_68	seq_69	seq_70	seq_71	seq_72	seq_73	seq_74	seq_75	seq_76	seq_77	seq_78	seq_79	seq_80	seq_81	seq_82	seq_83	seq_84	seq_85	seq_86	seq_87	seq_88	seq_89	seq_90	seq_91	seq_92	seq_93	seq_94	seq_95	seq_96	seq_97	seq_98	seq_99	seq_100	seq_101	seq_102	seq_103	seq_104	seq_105	seq_106	seq_107	seq_108	seq_109	seq_110	seq_111	seq_112	seq_113	seq_114	seq_115	seq_116	seq_117	seq_118	seq_119	seq_120	seq_121	seq_122	seq_123	seq_124	seq_125	seq_126	seq_127	seq_128	seq_129	seq_130	seq_131	seq_132	seq_133	seq_134	seq_135	seq_136	seq_137	seq_138	seq_139	seq_140	seq_141	seq_142	seq_143	seq_144	seq_145	seq_146	seq_147	seq_148	seq_149	seq_150	seq_151	seq_152	seq_153	seq_154	seq_155	seq_156	seq_157	seq_158	seq_159	seq_160	seq_161	seq_162	seq_163	seq_164	seq_165	seq_166	seq_167	seq_168	seq_169	seq_170	seq_171	seq_172	seq_173	seq_174	seq_175	seq_176	seq_177	seq_178	seq_179	seq_180	seq_181	seq_182	seq_183	seq_184	seq_185	seq_186	seq_187	seq_188	seq_189	seq_190	seq_191	seq_192	seq_193	seq_194	seq_195	seq_196	seq_197	seq_198
D11Hr16V8	1708	100	491	107	240	306	188	129	280	181	290	121	0	109	78	97	132	65	41	23	42	14	21	12	52	7	119	0	117	31	0	8	0	0	0	110	0	0	0	21	0	0	0	0	0	0	0	7	0	0	10	0	0	0	15	0	0	0	11	0	0	10	0	0	0	0	0	0	0	12	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D11Hr8V1	2307	0	503	351	709	264	270	339	130	228	298	177	8	0	69	124	182	72	98	7	91	30	55	28	0	8	169	0	117	43	0	166	22	0	34	9	12	0	0	9	0	0	0	0	0	0	16	7	0	0	7	0	0	0	24	0	0	0	13	6	8	7	0	0	0	4	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D11Hr8V2	3237	5	815	188	78	43	702	51	155	303	303	247	60	262	109	229	299	0	41	13	87	0	67	42	139	30	134	0	120	0	0	9	5	181	46	15	10	0	0	35	0	0	0	0	27	0	35	0	0	0	0	0	0	12	19	8	0	0	13	0	0	19	0	23	0	0	0	0	0	20	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	15	6	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D11Hr8V3	8136	8	759	205	5239	2535	688	1213	1883	852	2580	282	0	174	115	625	345	555	852	20	115	14	98	109	112	74	1117	0	968	163	0	134	0	105	38	165	35	0	0	255	0	0	0	0	60	0	45	14	0	0	0	19	0	0	33	107	0	0	48	10	0	0	0	0	74	9	0	0	117	0	0	0	0	0	15	0	0	0	0	0	0	3	0	0	0	0	0	0	0	137	11	57	0	0	0	0	0	9	6	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D11Hr8V4	4792	418	885	508	746	206	857	964	365	486	417	396	143	45	368	540	633	32	290	32	250	68	104	53	0	45	208	192	192	572	0	667	0	0	62	26	44	0	0	26	0	0	0	0	65	0	63	16	0	0	87	24	0	0	15	11	0	0	29	29	21	29	0	0	0	0	0	9	121	17	0	0	84	9	0	0	0	0	0	13	0	6	0	0	0	4	89	0	0	0	98	0	0	0	0	0	0	0	5	0	0	0	0	0	0	4	0	0	5	23	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	49	56	0	0	0	0	0	6	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D11Hr8V6	3337	1432	656	289	172	299	322	290	127	177	1062	218	36	0	66	209	124	0	246	60	94	86	34	8	41	13	470	0	407	220	0	53	10	0	22	38	0	0	0	29	0	67	0	0	0	0	0	0	0	0	57	0	0	0	16	0	0	0	13	21	0	0	0	0	0	0	9	0	17	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D11Hr8V7	7320	0	1645	448	1281	5	750	498	479	752	48	848	0	316	755	64	517	0	68	0	222	0	189	44	64	31	0	0	18	1020	0	10	257	0	220	34	0	186	0	55	0	0	0	0	0	0	0	34	0	146	0	0	0	0	218	0	0	0	0	0	0	16	0	0	56	10	0	0	0	10	0	74	191	0	177	0	0	53	0	9	0	12	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D11Hr8V8	1761	114	337	117	200	268	326	65	294	244	314	112	8	91	77	68	124	90	45	6	39	21	35	16	44	10	134	0	116	7	0	8	0	56	18	127	13	0	0	30	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	8	0	0	5	0	0	0	0	0	0	0	9	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D12Hr16V1	3376	29	331	419	826	427	1017	155	125	257	366	253	31	0	258	114	154	48	100	14	105	29	54	20	30	14	154	0	128	13	0	187	23	0	68	6	0	0	0	0	0	32	0	0	0	0	11	7	0	0	0	0	0	0	24	0	0	0	16	0	27	4	0	0	0	0	0	0	0	14	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	22	0	11	0	27	23	0	16	0	0	0	0	0	0	0	0	0	3	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D12Hr16V2	3714	28	547	250	119	54	565	73	190	313	205	255	86	400	86	287	338	0	30	54	133	0	86	18	133	33	79	0	79	0	179	11	13	156	62	7	10	0	0	36	0	0	0	0	27	0	19	6	0	0	0	0	0	15	26	0	0	0	0	8	0	10	0	20	0	0	0	10	0	15	0	0	0	0	0	11	0	0	0	13	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	4	0	7	0	7	0	12	3	0	0	0	0	0	12	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D12Hr16V3	3570	93	1325	238	2344	1357	508	503	948	490	1231	196	6	175	151	519	185	518	704	58	121	0	93	113	75	89	490	5	465	179	0	152	0	0	56	123	15	0	11	301	0	0	3	0	50	0	34	11	0	0	0	11	0	0	28	85	0	0	40	6	0	3	0	0	55	9	0	0	60	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	128	0	80	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	5	20	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D12Hr16V4	1536	332	148	135	63	24	117	55	62	91	99	75	25	0	87	145	104	0	33	23	36	0	27	0	0	9	0	54	28	77	0	116	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D12Hr16V6	6949	4229	1427	776	230	327	319	402	215	272	1648	319	122	0	189	420	98	0	350	164	144	116	60	15	57	30	679	0	589	187	0	79	18	0	28	42	14	0	0	59	52	91	0	0	17	0	0	10	20	38	75	0	0	0	10	0	0	0	21	33	0	11	0	0	0	6	0	0	32	14	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D12Hr16V7	7425	0	2234	300	606	38	693	123	389	426	38	476	0	212	1034	38	177	0	33	0	130	0	226	0	130	39	0	0	16	568	0	5	171	204	196	13	11	139	0	32	0	0	0	0	0	0	0	11	0	103	0	0	0	0	156	14	0	0	0	0	21	17	0	38	34	0	0	0	0	0	0	134	88	0	92	19	0	33	0	0	0	5	0	0	0	0	0	14	0	0	0	0	0	11	0	0	0	0	0	0	0	13	6	0	0	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D12Hr16V8	3112	1031	1118	263	257	273	313	474	537	347	393	227	0	259	106	158	132	112	65	45	98	18	71	35	52	33	194	0	187	72	0	21	0	0	24	132	0	0	0	108	0	0	0	0	26	0	28	7	11	0	54	0	0	0	12	0	0	0	10	6	10	9	0	0	0	0	0	0	7	11	0	0	0	0	14	13	0	0	0	0	0	6	0	0	0	7	14	0	0	0	0	34	0	0	0	0	0	0	7	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D13Hr16V1	3810	218	690	443	562	363	680	202	89	351	236	334	47	0	296	127	145	29	77	77	137	31	93	0	20	51	76	0	101	36	0	281	39	0	62	0	0	0	0	8	0	0	0	0	40	0	21	11	0	0	0	9	0	0	18	0	0	0	22	12	44	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	39	0	3	0	9	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D13Hr16V2	6467	93	615	392	108	74	472	77	217	538	172	311	135	476	170	364	334	0	25	64	202	0	292	32	262	45	64	0	51	44	385	11	20	345	42	9	23	0	0	44	0	0	0	0	53	0	30	8	0	43	23	0	0	23	26	0	0	0	16	9	19	9	0	44	0	0	0	16	0	14	29	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	17	0	20	16	0	0	0	32	20	0	0	0	0	5	0	20	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D13Hr16V3	2368	241	1313	118	1463	1677	286	206	858	425	1189	140	0	115	189	420	136	403	418	55	64	0	90	97	55	34	475	0	445	115	0	122	17	69	44	92	15	0	0	164	0	0	14	0	18	0	11	0	0	0	0	9	0	0	26	74	0	0	16	4	0	5	0	0	0	0	0	0	43	0	0	0	19	0	10	0	0	0	0	0	0	0	0	0	0	0	12	0	0	75	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D13Hr16V4	6727	2006	909	564	513	142	498	371	211	281	287	375	119	0	469	617	257	10	278	150	176	33	214	33	34	36	135	354	134	145	0	606	0	0	34	12	17	0	0	33	49	26	32	0	45	0	39	14	20	0	100	13	0	0	5	0	0	0	24	11	0	10	0	18	0	0	0	20	28	13	0	0	0	11	0	0	0	0	23	0	30	0	33	0	0	0	0	19	0	0	19	0	0	0	22	0	0	0	3	10	0	9	0	0	12	9	0	6	0	18	0	0	17	0	0	0	0	0	18	0	0	17	0	5	0	0	0	0	0	2	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D13Hr16V6	1386	1737	775	322	160	83	127	361	46	78	327	90	63	0	63	161	30	0	142	173	89	60	21	9	0	35	144	0	134	39	0	129	18	0	14	15	0	0	0	51	52	8	0	0	0	0	0	6	17	0	39	0	0	0	0	0	0	0	0	11	0	6	0	0	0	0	10	0	0	0	0	0	0	8	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D13Hr16V7	3150	49	2415	161	306	10	616	67	167	581	36	368	0	136	416	44	67	0	9	0	95	0	114	0	42	45	0	32	0	332	0	0	116	0	107	14	11	78	14	24	0	0	0	0	0	0	0	0	0	59	0	8	0	0	73	13	0	0	0	0	0	6	0	16	0	0	0	12	0	18	20	72	52	0	66	0	0	0	0	0	0	0	41	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D13Hr16V8	25	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D14Hr16V1	2525	379	472	182	804	508	242	124	43	290	264	286	37	0	197	101	52	36	189	56	95	16	61	22	10	20	105	0	70	38	0	126	108	0	74	5	0	0	0	11	0	12	0	0	22	0	13	12	9	0	0	9	0	0	14	0	0	0	12	5	0	3	0	37	0	0	0	0	0	15	0	0	0	0	7	0	0	0	9	0	0	0	0	0	0	0	0	12	0	8	0	0	0	0	0	0	0	0	0	17	0	13	12	18	21	0	9	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
D14Hr16V2	6005	415	851	417	148	41	390	83	216	633	70	297	139	449	93	292	212	0	117	110	168	0	139	22	235	44	31	0	30	85	381	3	128	334	215	5	23	0	0	33	0	0	0	0	32	0	37	24	0	48	33	0	0	0	23	12	0	0	17	0	0	5	0	0	0	0	0	0	0	9	0	0	0	0	0	20	0	0	0	13	0	0	70	0	0	0	0	18	0	7	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	35	7	0	0	0	26	15	0	0	0	4	4	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D14Hr16V3	549	565	398	23	436	554	82	95	156	150	145	71	0	26	66	201	57	82	129	18	25	0	12	62	0	20	0	0	41	48	0	38	8	0	32	39	9	0	0	70	0	0	5	0	23	0	0	3	0	0	0	0	0	0	0	113	0	0	10	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D14Hr16V4	1961	573	485	274	289	13	115	85	61	76	83	97	62	0	55	173	39	0	40	126	87	14	30	20	0	15	50	176	43	24	7	178	0	0	34	19	0	0	0	11	0	0	27	0	8	0	25	10	8	0	31	0	0	0	0	0	7	0	15	0	11	5	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	5	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D14Hr16V6	1261	2054	411	560	147	139	161	239	77	72	522	68	61	0	98	173	33	0	378	110	47	32	52	12	22	20	230	37	199	88	5	169	21	0	28	15	0	0	0	65	34	16	0	0	0	0	0	12	10	0	17	0	0	0	0	0	0	0	9	8	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D14Hr16V7	4992	60	1245	239	472	9	302	134	249	493	29	398	0	177	862	42	39	0	0	4	78	0	155	0	114	47	0	55	0	330	0	6	120	189	133	21	20	139	0	38	0	0	0	0	0	0	0	10	0	82	0	0	0	0	49	50	0	7	0	0	27	0	0	49	0	0	0	0	0	0	0	101	42	0	39	27	0	0	0	0	0	0	0	0	0	3	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D14Hr16V8	1026	645	320	91	169	145	82	46	187	81	159	91	0	141	52	35	11	32	73	60	48	0	33	12	0	17	87	0	84	16	4	0	0	0	20	43	0	0	0	58	0	0	3	0	9	0	0	10	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D14Hr8V1	4073	536	1064	455	791	332	498	136	126	318	145	250	126	71	177	148	135	39	68	142	147	47	92	0	0	58	78	6	76	40	16	258	81	0	74	5	0	27	0	12	0	14	0	0	27	0	19	20	0	35	0	15	0	0	20	0	0	0	11	7	52	8	0	0	0	0	0	0	0	17	0	0	0	0	0	10	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	0	0	0	0	0	0	10	0	0	4	0	0	0	0	0	0	0	0	0	0	4	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D14Hr8V2	10030	390	909	592	173	101	734	75	314	619	187	356	189	675	202	496	394	0	50	141	334	0	384	30	385	89	70	0	50	57	596	8	29	526	50	11	16	0	0	77	41	0	0	0	38	0	42	15	0	60	48	0	0	18	49	0	0	0	26	12	30	15	0	74	0	0	0	15	0	0	42	0	0	0	0	0	0	0	0	14	0	0	0	0	14	0	0	38	0	6	0	0	0	0	0	0	0	0	0	11	22	0	28	10	21	0	45	16	0	0	0	30	41	0	0	0	6	9	0	18	0	0	11	6	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
