seq_1	seq_2	seq_3	seq_4	seq_5	seq_6	seq_7	seq_8	seq_9	seq_10	seq_11	seq_12	seq_13	seq_14	seq_15	seq_16	seq_17	seq_18	seq_19	seq_20	seq_21	seq_22	seq_23	seq_24	seq_25	seq_26	seq_27	seq_28	seq_29	seq_30	seq_31	seq_32	seq_33	seq_34	seq_35	seq_36	seq_37	seq_38	seq_39	seq_40	seq_41	seq_42	seq_43	seq_44	seq_45	seq_46	seq_47	seq_48	seq_49	seq_50	seq_51	seq_52	seq_53	seq_54	seq_55	seq_56	seq_57	seq_58	seq_59	seq_60	seq_61	seq_62	seq_63	seq_64	seq_65	seq_66	seq_67	seq_68	seq_69	seq_70	seq_71	seq_72	seq_73	seq_74	seq_75	seq_76	seq_77	seq_78	seq_79	seq_80	seq_81	seq_82	seq_83	seq_84	seq_85	seq_86	seq_87	seq_88	seq_89	seq_90	seq_91	seq_92	seq_93	seq_94	seq_95	seq_96	seq_97	seq_98	seq_99	seq_100	seq_101	seq_102	seq_103	seq_104	seq_105	seq_106	seq_107	seq_108	seq_109	seq_110	seq_111	seq_112	seq_113	seq_114	seq_115	seq_116	seq_117	seq_118	seq_119	seq_120	seq_121	seq_122	seq_123	seq_124	seq_125	seq_126	seq_127	seq_128	seq_129	seq_130	seq_131	seq_132	seq_133	seq_134	seq_135	seq_136	seq_137	seq_138	seq_139	seq_140	seq_141	seq_142	seq_143	seq_144	seq_145	seq_146	seq_147	seq_148	seq_149	seq_150	seq_151	seq_152	seq_153	seq_154	seq_155	seq_156	seq_157	seq_158	seq_159	seq_160	seq_161	seq_162	seq_163	seq_164	seq_165	seq_166	seq_167	seq_168	seq_169	seq_170	seq_171	seq_172	seq_173	seq_174	seq_175	seq_176	seq_177	seq_178	seq_179	seq_180	seq_181	seq_182	seq_183	seq_184	seq_185	seq_186	seq_187	seq_188	seq_189	seq_190	seq_191	seq_192	seq_193	seq_194	seq_195	seq_196	seq_197	seq_198
D10Hr8V4	4309	22	629	562	565	311	859	1230	366	422	520	336	85	0	445	384	488	22	197	16	152	70	93	46	50	8	215	81	221	590	5	577	0	0	87	12	19	0	0	14	0	48	0	0	75	0	26	9	0	0	54	0	0	0	16	0	0	0	45	14	0	17	0	0	0	0	0	6	52	0	0	0	78	30	0	0	0	0	0	9	0	0	0	0	0	4	93	0	0	0	109	0	0	0	0	0	0	0	9	0	0	3	0	0	0	0	0	3	0	18	0	0	0	7	0	0	5	0	0	0	0	53	0	0	0	0	35	59	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D10Hr8V6	1750	383	344	157	111	180	317	339	74	112	625	150	0	0	36	78	113	0	132	20	55	102	19	0	24	13	263	0	246	274	0	35	0	0	17	14	0	0	0	7	0	31	0	0	13	0	0	0	0	0	14	0	0	9	14	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D10Hr8V7	3117	0	220	203	315	31	1060	172	226	261	51	302	0	82	987	26	273	0	95	0	98	0	201	0	62	0	0	0	21	417	0	6	109	0	70	16	0	76	0	15	0	0	0	0	0	0	0	15	0	0	0	0	0	0	106	0	0	0	6	0	0	25	0	0	0	0	0	0	0	0	0	83	74	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	32	0	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D10Hr8V8	2566	7	391	226	481	390	464	266	429	229	884	173	0	99	210	121	193	151	79	11	97	14	62	30	57	8	362	0	302	0	0	18	0	77	25	280	0	0	0	19	0	0	0	0	0	0	0	8	0	0	0	0	0	0	17	9	0	0	11	0	0	5	0	0	0	6	0	0	0	11	0	0	0	16	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
D11Hr16V1	4131	13	582	431	944	480	1031	240	189	587	383	270	17	0	293	172	217	51	127	14	117	27	68	0	40	18	169	0	141	32	0	248	41	0	56	8	15	0	0	0	0	32	0	0	0	0	29	5	0	0	6	7	0	0	42	0	0	0	25	0	38	0	0	0	0	0	0	0	0	12	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	12	19	0	0	0	0	0	0	0	0	0	0	0	13	21	9	9	0	0	5	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D11Hr16V2	3380	3	547	176	92	35	505	36	177	330	354	284	68	284	115	223	292	0	55	22	105	0	67	21	152	27	138	0	128	0	3	10	9	200	20	15	0	0	0	36	0	0	0	0	25	0	23	0	0	0	0	0	0	10	20	14	0	0	14	0	20	0	0	0	0	0	0	0	0	20	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	4	0	11	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
D11Hr16V3	2177	0	355	65	1275	821	293	373	522	292	922	120	0	67	42	129	148	248	281	15	59	0	32	52	30	33	360	0	320	78	0	59	0	0	14	44	0	0	0	132	0	0	0	0	23	0	10	5	0	0	0	0	0	0	8	35	0	0	30	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D11Hr16V4	2181	177	249	166	252	96	284	480	127	231	292	161	44	0	243	169	276	12	226	12	85	7	51	25	20	15	142	171	133	243	0	291	0	0	18	5	0	0	0	14	0	0	0	0	28	0	11	4	0	0	42	0	0	0	0	0	0	0	13	4	10	11	0	0	0	0	0	0	31	0	0	0	37	0	0	0	0	0	6	0	0	4	0	0	0	0	40	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D11Hr16V6	4413	2429	1020	580	173	431	779	428	178	213	1292	249	94	47	86	294	138	0	291	133	114	128	61	38	61	22	544	10	517	234	10	54	16	0	41	35	18	0	0	61	51	44	0	0	0	0	0	9	7	0	75	0	0	11	11	0	0	0	16	30	0	7	0	0	0	0	22	0	19	15	0	0	26	5	0	0	0	0	0	0	0	5	0	0	14	0	0	0	0	0	0	0	0	4	0	0	0	0	6	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D11Hr16V7	6414	0	1276	263	485	9	666	209	421	367	35	593	0	189	940	31	322	0	53	0	147	0	169	0	107	17	0	0	0	740	0	5	133	148	99	13	0	149	0	25	0	0	0	0	0	0	0	17	0	97	0	0	0	0	130	0	0	0	0	0	12	18	0	0	0	8	0	0	0	0	0	134	116	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
